uniprot_id,Reviewed,Gene Names,Organism,Length,pathogen,disease_name
Q7VT71,reviewed,glcB BP3680,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),725,bordetella_pertussis,Pertussis
Q7VT93,reviewed,aroB BP3657,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),358,bordetella_pertussis,Pertussis
Q7VT94,reviewed,aroK BP3656,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),211,bordetella_pertussis,Pertussis
Q7VTE5,reviewed,thiG BP3597,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),265,bordetella_pertussis,Pertussis
Q7VTJ7,reviewed,argD1 BP3539,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),393,bordetella_pertussis,Pertussis
Q7VTJ8,reviewed,argF BP3538,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),313,bordetella_pertussis,Pertussis
Q7VTJ9,reviewed,argG BP3537,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),445,bordetella_pertussis,Pertussis
Q7VTN4,reviewed,ribH BP3485,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),173,bordetella_pertussis,Pertussis
Q7VTP4,reviewed,coaD BP3471,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),169,bordetella_pertussis,Pertussis
Q7VTR9,reviewed,pyrD BP3442,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),349,bordetella_pertussis,Pertussis
Q7VTT6,reviewed,ruvB BP3421,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),357,bordetella_pertussis,Pertussis
Q7VTU0,reviewed,ruvC BP3417,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),182,bordetella_pertussis,Pertussis
Q7VU11,reviewed,rsmA ksgA BP3331,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),265,bordetella_pertussis,Pertussis
Q7VU12,reviewed,surA BP3330,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),519,bordetella_pertussis,Pertussis
Q7VU32,reviewed,nnrD BP3303,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),287,bordetella_pertussis,Pertussis
Q7VU41,reviewed,hemE BP3291,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),358,bordetella_pertussis,Pertussis
Q7VU44,reviewed,atpD BP3288,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),466,bordetella_pertussis,Pertussis
Q7VU46,reviewed,atpA BP3286,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),513,bordetella_pertussis,Pertussis
Q7VU56,reviewed,ttcA BP3273,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),320,bordetella_pertussis,Pertussis
Q7VU66,reviewed,trpD BP3262,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),343,bordetella_pertussis,Pertussis
Q7VU72,reviewed,pdxH BP3251,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),210,bordetella_pertussis,Pertussis
Q7VUD3,reviewed,ureC BP3168,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),571,bordetella_pertussis,Pertussis
Q7VUE3,reviewed,thyA BP3154,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),323,bordetella_pertussis,Pertussis
Q7VUE5,reviewed,coq7 BP3152,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),222,bordetella_pertussis,Pertussis
Q7VUF4,reviewed,pgi BP3142,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),521,bordetella_pertussis,Pertussis
Q7VUG2,reviewed,hmgA BP3134,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),432,bordetella_pertussis,Pertussis
Q7VUG7,reviewed,mutM fpg BP3129,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),275,bordetella_pertussis,Pertussis
Q7VUH0,reviewed,ispE ipk BP3126,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),299,bordetella_pertussis,Pertussis
Q7VUH3,reviewed,pth BP3123,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),215,bordetella_pertussis,Pertussis
Q7VUJ5,reviewed,modC BP3093,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),369,bordetella_pertussis,Pertussis
Q7VUJ9,reviewed,hslU htpI BP3087,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),444,bordetella_pertussis,Pertussis
Q7VUK0,reviewed,hslV BP3086,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),179,bordetella_pertussis,Pertussis
Q7VUL5,reviewed,metK BP3071,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),387,bordetella_pertussis,Pertussis
Q7VUL8,reviewed,ahcY acyH BP3068,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),472,bordetella_pertussis,Pertussis
Q7VUN6,reviewed,ilvD2 BP3043,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),562,bordetella_pertussis,Pertussis
Q7VUP6,reviewed,rsmH mraW BP3030,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),364,bordetella_pertussis,Pertussis
Q7VUQ0,reviewed,mraY BP3026,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),377,bordetella_pertussis,Pertussis
Q7VUQ1,reviewed,murD BP3025,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),510,bordetella_pertussis,Pertussis
Q7VUQ3,reviewed,murG BP3023,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),357,bordetella_pertussis,Pertussis
Q7VUQ4,reviewed,murC BP3022,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),468,bordetella_pertussis,Pertussis
Q7VUQ5,reviewed,ddl ddlB BP3021,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),316,bordetella_pertussis,Pertussis
Q7VUQ9,reviewed,lpxC BP3017,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),307,bordetella_pertussis,Pertussis
Q7VUR2,reviewed,secA BP3014,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),911,bordetella_pertussis,Pertussis
Q7VUS0,reviewed,pagP BP3006,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),182,bordetella_pertussis,Pertussis
Q7VUS1,reviewed,aroE BP3004,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),287,bordetella_pertussis,Pertussis
Q7VUS7,reviewed,aroQ BP2998,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),144,bordetella_pertussis,Pertussis
Q7VUU5,reviewed,gltX BP2978,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),460,bordetella_pertussis,Pertussis
Q7VUW0,reviewed,argC BP2960,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),354,bordetella_pertussis,Pertussis
Q7VUW3,reviewed,anmK BP2957,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),378,bordetella_pertussis,Pertussis
Q7VUW5,reviewed,tyrS BP2954,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),409,bordetella_pertussis,Pertussis
Q7VUW7,reviewed,glyA BP2952,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),415,bordetella_pertussis,Pertussis
Q7VV53,reviewed,panB BP2850,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),278,bordetella_pertussis,Pertussis
Q7VV72,reviewed,metN BP2816,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),362,bordetella_pertussis,Pertussis
Q7VV87,reviewed,dxs BP2798,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),620,bordetella_pertussis,Pertussis
Q7VVF1,reviewed,bioB BP2718,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),335,bordetella_pertussis,Pertussis
Q7VVF8,reviewed,moaC BP2711,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),161,bordetella_pertussis,Pertussis
Q7VVJ8,reviewed,queE BP2659,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),210,bordetella_pertussis,Pertussis
Q7VVM4,reviewed,guaA BP2624,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),530,bordetella_pertussis,Pertussis
Q7VVR4,reviewed,pheS BP2574,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),348,bordetella_pertussis,Pertussis
Q7VVR5,reviewed,pheT BP2573,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),805,bordetella_pertussis,Pertussis
Q7VVR6,reviewed,ihfA himA BP2572,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),113,bordetella_pertussis,Pertussis
Q7VVU3,reviewed,metE BP2543,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),764,bordetella_pertussis,Pertussis
Q7VVU5,reviewed,sucC BP2541,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),386,bordetella_pertussis,Pertussis
Q7VVU9,reviewed,hemC BP2537,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),314,bordetella_pertussis,Pertussis
Q7VVW3,reviewed,folD2 BP2522,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),283,bordetella_pertussis,Pertussis
Q7VVX6,reviewed,nadK BP2505,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),299,bordetella_pertussis,Pertussis
Q7VVX8,reviewed,hemH BP2503,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),362,bordetella_pertussis,Pertussis
Q7VVY3,reviewed,dnaJ BP2498,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),385,bordetella_pertussis,Pertussis
Q7VW08,reviewed,serS BP2470,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),451,bordetella_pertussis,Pertussis
Q7VW28,reviewed,plsX BP2444,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),352,bordetella_pertussis,Pertussis
Q7VW29,reviewed,fabH BP2443,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),328,bordetella_pertussis,Pertussis
Q7VW39,reviewed,rnc BP2431,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),256,bordetella_pertussis,Pertussis
Q7VW40,reviewed,era BP2430,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),296,bordetella_pertussis,Pertussis
Q7VW48,reviewed,pepA BP2421,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),499,bordetella_pertussis,Pertussis
Q7VW79,reviewed,eno BP2386,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),428,bordetella_pertussis,Pertussis
Q7VW80,reviewed,ftsB BP2385,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),118,bordetella_pertussis,Pertussis
Q7VWC1,reviewed,rpiA BP2339,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),226,bordetella_pertussis,Pertussis
Q7VWD8,reviewed,msbA BP2321,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),623,bordetella_pertussis,Pertussis
Q7VWE3,reviewed,BP2314,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),207,bordetella_pertussis,Pertussis
Q7VWE7,reviewed,hemF BP2310,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),303,bordetella_pertussis,Pertussis
Q7VWH8,reviewed,phnX BP2275,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),276,bordetella_pertussis,Pertussis
Q7VWK6,reviewed,valS BP2203,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),960,bordetella_pertussis,Pertussis
Q7VWK7,reviewed,ndk BP2202,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),141,bordetella_pertussis,Pertussis
Q7VWL0,reviewed,ispG gcpE BP2199,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),431,bordetella_pertussis,Pertussis
Q7VWM1,reviewed,purA adeK BP2188,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),435,bordetella_pertussis,Pertussis
Q7VWP1,reviewed,bioF BP2164,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),397,bordetella_pertussis,Pertussis
Q7VWV5,reviewed,queF BP2084,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),273,bordetella_pertussis,Pertussis
Q7VWV8,reviewed,nagZ BP2080,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),352,bordetella_pertussis,Pertussis
Q7VWW0,reviewed,pdxJ BP2078,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),248,bordetella_pertussis,Pertussis
Q7VX46,reviewed,cobB BP1974,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),274,bordetella_pertussis,Pertussis
Q7VX83,reviewed,nadX2 BP1922,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),267,bordetella_pertussis,Pertussis
Q7VX94,reviewed,accA BP1910,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),321,bordetella_pertussis,Pertussis
Q7VX96,reviewed,cysS BP1908,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),486,bordetella_pertussis,Pertussis
Q7VX99,reviewed,lpxH BP1905,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),258,bordetella_pertussis,Pertussis
Q7VXA0,reviewed,uppP bacA upk BP1904,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),287,bordetella_pertussis,Pertussis
Q7VXE1,reviewed,alaS lovB BP1836,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),874,bordetella_pertussis,Pertussis
Q7VXF8,reviewed,panD BP1816,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),122,bordetella_pertussis,Pertussis
Q7VXH4,reviewed,uvrB BP1796,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),678,bordetella_pertussis,Pertussis
Q7VXI6,reviewed,clpX BP1776,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),434,bordetella_pertussis,Pertussis
Q7VXI7,reviewed,clpP BP1775,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),217,bordetella_pertussis,Pertussis
Q7VXI8,reviewed,tig BP1774,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),436,bordetella_pertussis,Pertussis
Q7VXJ5,reviewed,dapE BP1763,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),379,bordetella_pertussis,Pertussis
Q7VXK3,reviewed,ileS BP1753,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),953,bordetella_pertussis,Pertussis
Q7VXM6,reviewed,rlmD rumA BP1725,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),466,bordetella_pertussis,Pertussis
