drugbank_id,disease,label
DB11136,dyskeratosis congenita,0
DB01280,obsessive-compulsive disorder,0
DB09038,hypotrichosis,0
DB01277,vitiligo,0
DB09082,hypotrichosis,0
DB02703,coronary artery disease,1
DB00921,costello syndrome,1
DB01206,neuroblastoma,0
DB06016,disseminated intravascular coagulation,0
DB00575,rhabdomyosarcoma,0
DB09079,cryptorchidism,0
DB09272,multiple sclerosis,0
DB08806,parkinson disease,0
DB15090,hirschsprung disease,0
DB00945,crohn disease,1
DB00748,asthma,0
DB04571,coronary artery disease,0
DB01225,glaucoma,0
DB01403,myasthenia gravis,0
DB00332,intervertebral disc disease,0
DB01098,narcolepsy,0
DB13133,crohn disease,1
DB14507,obsessive-compulsive disorder,1
DB00140,crohn disease,1
DB01016,costello syndrome,0
DB00809,intervertebral disc disease,0
DB00528,celiac disease,0
DB11186,malaria,0
DB00104,tuberculosis,0
DB06655,osteoporosis-pseudoglioma syndrome,1
DB04574,marfan syndrome,0
DB08808,optic atrophy,0
DB08905,breast cancer,1
DB00761,retinitis pigmentosa,0
DB00557,huntington disease,0
DB11558,osteoporosis-pseudoglioma syndrome,0
DB01234,tuberculosis,1
DB00545,cholangiocarcinoma,0
DB00572,neuroblastoma,0
DB09331,multiple myeloma,1
DB11576,hirschsprung disease,0
DB01616,osteoporosis-pseudoglioma syndrome,0
DB09462,atherosclerosis,0
DB14649,holoprosencephaly,0
DB01223,obsessive-compulsive disorder,1
DB08877,mitochondrial complex iii deficiency,0
DB01186,cataract,0
DB00799,psoriasis,1
DB08822,atypical hemolytic uremic syndrome,0
DB00333,medulloblastoma,0
DB04786,dengue,0
DB09228,myasthenia gravis,0
DB01229,narcolepsy,0
DB00295,leber congenital amaurosis,0
DB01087,hypospadias,0
DB08876,multiple sclerosis,0
DB05134,huntington disease,0
DB08900,optic atrophy,0
DB04932,noonan syndrome,1
DB00197,hypertriglyceridemia,1
DB09244,myasthenia gravis,0
DB00843,costello syndrome,0
DB00981,intervertebral disc disease,1
DB08881,crohn disease,1
DB12978,frontotemporal lobar degeneration,1
DB01299,celiac disease,0
DB01223,prader-willi syndrome,1
DB06168,gout,1
DB00168,osteosarcoma,0
DB00860,burkitt lymphoma,1
DB00130,osteosarcoma,0
DB01077,leishmaniasis,0
DB06196,glaucoma,0
DB00204,holoprosencephaly,0
DB15444,tuberculosis,0
DB04883,parkinson disease,0
DB00214,dyskeratosis congenita,0
DB00060,coronary artery disease,0
DB09494,idiopathic pulmonary fibrosis,0
DB12553,hypospadias,0
DB06654,optic atrophy,0
DB00548,celiac disease,0
DB00252,diabetic retinopathy,0
DB00158,psoriasis,1
DB01024,myasthenia gravis,1
DB14545,graves disease,0
DB00393,lupus nephritis,0
DB01626,idiopathic pulmonary fibrosis,0
DB00687,marfan syndrome,0
DB00492,long qt syndrome,0
DB00315,prader-willi syndrome,0
DB01212,q fever,1
DB05458,multiple myeloma,0
DB00030,osteosarcoma,0
DB00860,psoriasis,1
DB00621,fanconi anemia,0
DB00053,rhabdomyosarcoma,0
DB00518,osteoporosis,0
DB00574,cataract,0
DB00041,cystic fibrosis,0
DB05185,gout,0
DB12371,coronary artery disease,0
DB09038,obsessive-compulsive disorder,0
DB00376,parkinson disease,1
DB11730,neuroblastoma,0
DB08813,burkitt lymphoma,0
DB01364,hypoplastic left heart syndrome,1
DB00957,hypoplastic left heart syndrome,0
DB06292,nephrotic syndrome,0
DB01095,medulloblastoma,0
DB11576,obsessive-compulsive disorder,0
DB04900,costello syndrome,0
DB01280,cataract,0
DB08907,noonan syndrome,0
DB14520,leishmaniasis,0
DB00513,osteoporosis-pseudoglioma syndrome,0
DB01418,common variable immunodeficiency,0
DB04883,narcolepsy,0
DB06827,hypertriglyceridemia,0
DB00888,coronary artery disease,1
DB01234,obsessive-compulsive disorder,1
DB06756,dengue,0
DB13919,retinitis pigmentosa,0
DB00973,hypertriglyceridemia,1
DB00332,meningioma,0
DB06715,vitiligo,0
DB00908,malaria,1
DB03247,diabetic retinopathy,0
DB00126,long qt syndrome,1
DB00285,obsessive-compulsive disorder,1
DB00973,atypical hemolytic uremic syndrome,0
DB14967,coronary artery disease,0
DB01285,prader-willi syndrome,1
DB00476,intervertebral disc disease,0
DB00619,myopia,0
DB11635,nephrotic syndrome,0
DB04897,neural tube defects,0
DB13867,idiopathic pulmonary fibrosis,1
DB09350,q fever,1
DB11093,parkinson disease,0
DB01212,disseminated intravascular coagulation,0
DB00460,cataract,0
DB03247,disseminated intravascular coagulation,0
DB00435,cystic fibrosis,1
DB00620,tuberculosis,1
DB00529,leishmaniasis,0
DB00293,vitiligo,0
DB00052,osteoporosis-pseudoglioma syndrome,1
DB00351,q fever,0
DB06803,lupus nephritis,1
DB11994,lymphangioleiomyomatosis,0
DB00778,common variable immunodeficiency,0
DB00016,malaria,0
DB00048,malaria,0
DB00312,osteosarcoma,0
DB00152,gout,0
DB00540,tuberculosis,0
DB00843,multiple sclerosis,1
DB00668,multiple sclerosis,0
DB01069,long qt syndrome,0
DB00615,obsessive-compulsive disorder,0
DB14533,cryptorchidism,0
DB06825,vitiligo,0
DB00023,hyperprolactinemia,0
DB06479,obsessive-compulsive disorder,0
DB09213,multiple myeloma,0
DB00927,optic atrophy,0
DB00915,parkinson disease,1
DB06148,fanconi anemia,0
DB01143,hypoplastic left heart syndrome,1
DB06742,idiopathic pulmonary fibrosis,1
DB13284,idiopathic pulmonary fibrosis,0
DB00608,prader-willi syndrome,1
DB01416,mitochondrial complex iii deficiency,0
DB00387,gout,0
DB14500,leishmaniasis,0
DB00276,common variable immunodeficiency,0
DB00848,dengue,0
DB01195,malaria,0
DB09205,holoprosencephaly,0
DB00196,q fever,0
DB01397,leber congenital amaurosis,0
DB09037,asthma,0
DB01400,neural tube defects,0
DB00193,fanconi anemia,0
DB13989,glaucoma,0
DB00712,fanconi anemia,0
DB01001,coronary artery disease,1
DB01082,hypoplastic left heart syndrome,1
DB08993,mitochondrial complex iii deficiency,0
DB00974,glioma,0
DB01065,cholangiocarcinoma,1
DB11776,fanconi anemia,0
DB00783,prader-willi syndrome,1
DB16355,celiac disease,0
DB00276,atypical hemolytic uremic syndrome,0
DB16394,tuberculosis,0
DB00410,atherosclerosis,0
DB14513,obsessive-compulsive disorder,1
DB00867,cystic fibrosis,0
DB09551,cystic fibrosis,1
DB01235,multiple myeloma,0
DB00232,multiple myeloma,0
DB00181,lymphangioleiomyomatosis,0
DB12548,crohn disease,0
DB06199,osteoporosis-pseudoglioma syndrome,0
DB08797,leishmaniasis,0
DB00974,parkinson disease,0
DB00758,glaucoma,0
DB14482,medulloblastoma,0
DB07402,vitiligo,0
DB01436,hirschsprung disease,1
DB00905,myopia,0
DB15071,hyperprolactinemia,0
DB01061,multiple sclerosis,0
DB00126,frontotemporal lobar degeneration,1
DB01260,lymphangioleiomyomatosis,0
DB00131,tuberculosis,0
DB01559,huntington disease,0
DB00653,multiple sclerosis,0
DB01044,meningioma,0
DB11757,sarcoidosis,0
DB01167,asthma,0
DB06762,crohn disease,1
DB00966,tuberculosis,0
DB00524,q fever,0
DB08936,celiac disease,0
DB00964,hyperprolactinemia,0
DB01645,hirschsprung disease,1
DB09258,myopia,0
DB00714,coronary artery disease,0
DB01599,nephrotic syndrome,1
DB00655,celiac disease,0
DB01225,coronary artery disease,1
DB00584,hirschsprung disease,1
DB00072,asthma,0
DB14512,intervertebral disc disease,0
DB00381,holoprosencephaly,0
DB08860,hypoplastic left heart syndrome,1
DB01400,multiple myeloma,0
DB00063,diabetic retinopathy,0
DB00967,leber congenital amaurosis,0
DB08797,q fever,1
DB15965,graves disease,0
DB00773,malaria,0
DB00297,intervertebral disc disease,1
DB09272,cataract,0
DB00143,neuroblastoma,0
DB00758,rhabdomyosarcoma,0
DB13928,barrett esophagus,0
DB00531,myopia,0
DB00878,breast cancer,0
DB15685,cryptorchidism,0
DB00257,malaria,1
DB06825,cystic fibrosis,0
DB00181,glioma,0
DB01053,neuroblastoma,0
DB00967,atypical hemolytic uremic syndrome,0
DB11637,hypospadias,0
DB00775,cryptorchidism,0
DB00692,hypertriglyceridemia,0
DB09154,osteoporosis-pseudoglioma syndrome,1
DB00771,intervertebral disc disease,0
DB00724,dyskeratosis congenita,1
DB01170,hyperprolactinemia,0
DB09152,retinitis pigmentosa,0
DB01393,multiple sclerosis,0
DB00531,cystic fibrosis,1
DB13595,myasthenia gravis,0
DB09082,idiopathic pulmonary fibrosis,1
DB04953,myasthenia gravis,0
DB01197,crohn disease,1
DB00571,glioma,1
DB00214,hirschsprung disease,0
DB01074,hypoplastic left heart syndrome,1
DB00073,huntington disease,0
DB01623,rhabdomyosarcoma,0
DB06272,nephrotic syndrome,0
DB00797,multiple myeloma,0
DB06179,leishmaniasis,0
DB00683,intervertebral disc disease,1
DB08813,dyskeratosis congenita,0
DB00150,hypospadias,0
DB00152,obsessive-compulsive disorder,1
DB01176,barrett esophagus,0
DB00397,myasthenia gravis,0
DB03247,crohn disease,1
DB00273,crohn disease,0
DB01008,hypospadias,0
DB08906,hirschsprung disease,1
DB01101,osteosarcoma,0
DB01275,holoprosencephaly,0
DB09037,q fever,0
DB13262,hypertriglyceridemia,0
DB00382,multiple myeloma,0
DB06262,marfan syndrome,0
DB00901,retinitis pigmentosa,0
DB01032,idiopathic pulmonary fibrosis,0
DB01077,myasthenia gravis,0
DB01248,cataract,0
DB00165,mitochondrial complex iii deficiency,1
DB00996,leber congenital amaurosis,0
DB06285,noonan syndrome,0
DB02342,parkinson disease,0
DB00419,cystic fibrosis,1
DB04573,osteosarcoma,0
DB01623,retinitis pigmentosa,0
DB05381,multiple sclerosis,1
DB00548,psoriasis,1
DB00312,tuberculosis,0
DB00419,hirschsprung disease,0
DB09099,multiple myeloma,1
DB01132,osteoporosis-pseudoglioma syndrome,1
DB00181,q fever,0
DB08844,hypoplastic left heart syndrome,0
DB04896,glaucoma,0
DB00075,lupus nephritis,0
DB00367,cystic fibrosis,0
DB00177,cystic fibrosis,1
DB01210,myopia,0
DB00040,medulloblastoma,0
DB00894,hypotrichosis,0
DB00593,diabetic retinopathy,0
DB01406,breast cancer,0
DB00092,lymphangioleiomyomatosis,0
DB01026,parkinson disease,1
DB00088,atypical hemolytic uremic syndrome,0
DB00361,glioma,1
DB09122,parkinson disease,0
DB00598,marfan syndrome,0
DB13312,crohn disease,1
DB00906,malaria,0
DB00741,hirschsprung disease,1
DB01164,medulloblastoma,0
DB01427,hypertriglyceridemia,0
DB06708,malaria,1
DB00214,noonan syndrome,0
DB00683,prader-willi syndrome,1
DB01215,myasthenia gravis,0
DB00359,barrett esophagus,0
DB01626,obsessive-compulsive disorder,1
DB00719,idiopathic pulmonary fibrosis,0
DB09072,celiac disease,0
DB13954,meningioma,0
DB11770,crohn disease,1
DB00273,barrett esophagus,0
DB01054,parkinson disease,0
DB00987,myasthenia gravis,0
DB00182,narcolepsy,1
DB01247,prader-willi syndrome,0
DB14500,lymphangioleiomyomatosis,0
DB14754,hypoplastic left heart syndrome,0
DB11248,mitochondrial complex iii deficiency,1
DB09113,prader-willi syndrome,1
DB11738,neural tube defects,0
DB11825,asthma,0
DB15565,myasthenia gravis,0
DB00640,osteoporosis,0
DB01044,rhabdomyosarcoma,0
DB14004,psoriasis,1
DB00704,crohn disease,1
DB00590,osteosarcoma,0
DB00148,crohn disease,0
DB00741,intervertebral disc disease,0
DB01418,hypertriglyceridemia,0
DB09230,hypospadias,0
DB04573,atherosclerosis,1
DB01215,huntington disease,0
DB00088,disseminated intravascular coagulation,0
DB06273,leishmaniasis,0
DB00111,parkinson disease,0
DB00627,multiple sclerosis,0
DB00448,asthma,1
DB00813,meningioma,0
DB00145,gout,0
DB00368,cataract,0
DB00559,asthma,1
DB09280,intervertebral disc disease,0
DB01229,cholangiocarcinoma,1
DB01080,fanconi anemia,0
DB01100,costello syndrome,1
DB01280,osteosarcoma,0
DB00219,cystic fibrosis,0
DB00207,atherosclerosis,0
DB00107,dengue,0
DB00578,hypospadias,0
DB09322,disseminated intravascular coagulation,0
DB00180,malaria,0
DB08894,barrett esophagus,0
DB00001,osteosarcoma,0
DB00387,obsessive-compulsive disorder,1
DB00127,hypoplastic left heart syndrome,1
DB06755,fanconi anemia,1
DB00774,myasthenia gravis,0
DB00537,cystic fibrosis,1
DB01140,cholangiocarcinoma,0
DB00909,narcolepsy,0
DB01032,hyperprolactinemia,0
DB08904,asthma,0
DB09320,leishmaniasis,0
DB00443,gout,1
DB14500,multiple sclerosis,0
DB06174,retinitis pigmentosa,0
DB00656,retinitis pigmentosa,0
DB00015,malaria,0
DB00295,obsessive-compulsive disorder,1
DB11366,hypertriglyceridemia,1
DB01037,lymphangioleiomyomatosis,0
DB00778,hirschsprung disease,1
DB00564,atypical hemolytic uremic syndrome,0
DB13178,meningioma,0
DB09053,narcolepsy,0
DB08842,disseminated intravascular coagulation,0
DB00754,mitochondrial complex iii deficiency,1
DB12479,long qt syndrome,0
DB00748,sarcoidosis,0
DB06196,optic atrophy,0
DB04856,cystic fibrosis,0
DB00002,hypertriglyceridemia,0
DB01277,obsessive-compulsive disorder,0
DB16355,malaria,0
DB00754,sarcoidosis,0
DB01022,hypoplastic left heart syndrome,0
DB00916,multiple sclerosis,0
DB00959,asthma,1
DB00014,lupus nephritis,0
DB01221,lupus nephritis,0
DB00619,q fever,0
DB00825,breast cancer,1
DB00327,q fever,0
DB01115,burkitt lymphoma,0
DB00683,hypoplastic left heart syndrome,0
DB00935,q fever,0
DB11837,meningioma,0
DB01030,common variable immunodeficiency,0
DB08899,multiple myeloma,0
DB01171,obsessive-compulsive disorder,1
DB00413,multiple sclerosis,1
DB01092,prader-willi syndrome,0
DB09272,obsessive-compulsive disorder,0
DB00103,osteosarcoma,0
DB06155,neuroblastoma,0
DB00635,disseminated intravascular coagulation,0
DB00637,myopia,0
DB13262,glaucoma,1
DB00201,parkinson disease,1
DB00583,meningioma,0
DB01185,hypotrichosis,0
DB09086,hyperprolactinemia,0
DB01030,huntington disease,0
DB00806,prader-willi syndrome,1
DB15718,rhabdomyosarcoma,0
DB00226,lupus nephritis,0
DB00515,neuroblastoma,1
DB00657,holoprosencephaly,0
DB01274,hirschsprung disease,1
DB00092,disseminated intravascular coagulation,0
DB13161,malaria,0
DB14967,hirschsprung disease,0
DB09213,crohn disease,0
DB00091,fanconi anemia,1
DB00813,long qt syndrome,0
DB01440,barrett esophagus,0
DB01403,crohn disease,0
DB01050,mitochondrial complex iii deficiency,0
DB00087,parkinson disease,0
DB00015,multiple myeloma,0
DB01106,graves disease,0
DB01618,osteoporosis-pseudoglioma syndrome,0
DB05773,osteoporosis,0
DB09230,myopia,0
DB06317,leber congenital amaurosis,0
DB13284,hypoplastic left heart syndrome,0
DB06724,burkitt lymphoma,0
DB00608,frontotemporal lobar degeneration,0
DB00770,idiopathic pulmonary fibrosis,1
DB11581,asthma,0
DB02638,breast cancer,0
DB00755,osteosarcoma,0
DB00330,tuberculosis,1
DB12005,retinitis pigmentosa,0
DB00688,crohn disease,1
DB00682,multiple myeloma,1
DB01032,breast cancer,0
DB01563,graves disease,0
DB00323,neural tube defects,0
DB00337,psoriasis,1
DB01177,costello syndrome,0
DB01367,dengue,0
DB00659,hypoplastic left heart syndrome,0
DB05316,vitiligo,0
DB00381,atherosclerosis,1
DB01011,cholangiocarcinoma,0
DB08881,tuberculosis,0
DB00877,atypical hemolytic uremic syndrome,0
DB12005,burkitt lymphoma,0
DB00972,meningioma,0
DB06288,common variable immunodeficiency,0
DB14210,lymphangioleiomyomatosis,0
DB00742,meningioma,1
DB06825,breast cancer,1
DB01041,multiple sclerosis,1
DB12553,meningioma,0
DB00970,multiple sclerosis,0
DB01087,long qt syndrome,0
DB00945,frontotemporal lobar degeneration,0
DB00574,graves disease,0
DB01132,disseminated intravascular coagulation,0
DB05229,hypospadias,0
DB00722,hypoplastic left heart syndrome,1
DB00967,holoprosencephaly,0
DB01167,mitochondrial complex iii deficiency,0
DB11569,huntington disease,0
DB04880,multiple myeloma,0
DB06685,graves disease,0
DB00201,nephrotic syndrome,0
DB11081,diabetic retinopathy,0
DB09185,atypical hemolytic uremic syndrome,0
DB06393,vitiligo,0
DB06174,lupus nephritis,0
DB01400,hirschsprung disease,0
DB00381,crohn disease,1
DB00119,mitochondrial complex iii deficiency,1
DB01242,obsessive-compulsive disorder,1
DB11126,disseminated intravascular coagulation,0
DB06594,hypospadias,0
DB14936,sarcoidosis,0
DB01116,asthma,0
DB02709,neuroblastoma,1
DB00439,hypoplastic left heart syndrome,1
DB00368,idiopathic pulmonary fibrosis,1
DB00771,cryptorchidism,0
DB01092,glaucoma,0
DB00683,vitiligo,0
DB01234,multiple sclerosis,1
DB00448,costello syndrome,1
DB06174,frontotemporal lobar degeneration,0
DB00213,malaria,0
DB11348,glioma,0
DB00654,dengue,0
DB04948,hypospadias,0
DB07402,glaucoma,0
DB00187,tuberculosis,0
DB00321,costello syndrome,1
DB12129,hypotrichosis,0
DB01247,breast cancer,0
DB15271,common variable immunodeficiency,0
DB04883,disseminated intravascular coagulation,0
DB01544,neural tube defects,0
DB01005,cholangiocarcinoma,0
DB00026,mitochondrial complex iii deficiency,0
DB04575,hyperprolactinemia,0
DB14985,fanconi anemia,1
DB06401,nephrotic syndrome,0
DB01082,tuberculosis,1
DB00119,cryptorchidism,0
DB00052,malaria,0
DB00738,hypoplastic left heart syndrome,0
DB01211,rhabdomyosarcoma,0
DB01257,mitochondrial complex iii deficiency,0
DB04856,hyperprolactinemia,0
DB00169,holoprosencephaly,0
DB08904,hypotrichosis,0
DB00831,disseminated intravascular coagulation,0
DB00653,gout,0
DB04854,cataract,0
DB00163,frontotemporal lobar degeneration,1
DB11638,multiple sclerosis,0
DB12829,neuroblastoma,0
DB06655,diabetic retinopathy,0
DB00860,osteoporosis-pseudoglioma syndrome,1
DB09320,crohn disease,0
DB11098,psoriasis,0
DB00273,parkinson disease,1
DB00820,neural tube defects,0
DB00397,parkinson disease,0
DB01039,gout,1
DB04920,parkinson disease,0
DB09551,barrett esophagus,0
DB00512,breast cancer,0
DB00804,osteoporosis-pseudoglioma syndrome,0
DB04878,q fever,0
DB11136,atherosclerosis,1
DB00682,crohn disease,1
DB00982,multiple myeloma,0
DB00987,meningioma,0
DB12140,mitochondrial complex iii deficiency,0
DB00313,hirschsprung disease,1
DB05109,hypertriglyceridemia,0
DB09335,tuberculosis,0
DB01168,glioma,1
DB06594,obsessive-compulsive disorder,1
DB00926,mitochondrial complex iii deficiency,0
DB00594,marfan syndrome,0
DB01164,neural tube defects,0
DB00017,dyskeratosis congenita,0
DB12770,osteoporosis,0
DB01545,prader-willi syndrome,0
DB11081,cystic fibrosis,0
DB00812,lupus nephritis,0
DB14539,meningioma,0
DB06196,hirschsprung disease,1
DB06196,idiopathic pulmonary fibrosis,1
DB00472,dengue,0
DB01156,multiple sclerosis,0
DB00925,lymphangioleiomyomatosis,1
DB09526,coronary artery disease,0
DB06710,costello syndrome,0
DB01320,crohn disease,0
DB00150,hirschsprung disease,0
DB00440,prader-willi syndrome,0
DB09146,noonan syndrome,0
DB06393,hypotrichosis,0
DB06149,prader-willi syndrome,1
DB01202,crohn disease,1
DB15992,osteoporosis,0
DB00925,holoprosencephaly,0
DB00572,multiple sclerosis,0
DB00328,rhabdomyosarcoma,1
DB12243,hypotrichosis,0
DB01218,rhabdomyosarcoma,0
DB00449,coronary artery disease,0
DB01041,crohn disease,1
DB01544,fanconi anemia,0
DB00960,hypotrichosis,0
DB06154,costello syndrome,0
DB06670,neuroblastoma,0
DB00759,cystic fibrosis,1
DB00240,long qt syndrome,0
DB05229,hypertriglyceridemia,0
DB00072,atherosclerosis,0
DB01401,costello syndrome,0
DB00783,medulloblastoma,1
DB00150,myasthenia gravis,0
DB00262,breast cancer,1
DB16183,huntington disease,0
DB06694,holoprosencephaly,0
DB00295,marfan syndrome,0
DB00608,malaria,1
DB04953,vitiligo,0
DB12371,osteoporosis,0
DB09140,costello syndrome,1
DB04839,marfan syndrome,0
DB01349,atypical hemolytic uremic syndrome,0
DB00778,long qt syndrome,0
DB11136,tuberculosis,0
DB01277,gout,0
DB00675,mitochondrial complex iii deficiency,0
DB01420,breast cancer,1
DB00603,hypospadias,0
DB00555,intervertebral disc disease,0
DB00490,hirschsprung disease,0
DB00579,holoprosencephaly,0
DB01005,myasthenia gravis,0
DB00357,atherosclerosis,0
DB00471,leber congenital amaurosis,0
DB00226,q fever,0
DB00589,hyperprolactinemia,1
DB09026,burkitt lymphoma,0
DB06827,coronary artery disease,0
DB00460,burkitt lymphoma,0
DB11652,breast cancer,1
DB01413,q fever,1
