GeneName,UniProtID,PDB_IDs,AlphaFold
PTGS2,P35354,5F19;5F1A;5IKQ,
NOS3,P29474,1M9J;1M9K;1M9M,
MME,P08473,1DMT;1R1H;1R1I,
CA1,P00915,1AZM;1BZM;1CRM,
REN,P00797,1BBS;1BIL;1BIM,
SERPINC1,P01008,1ANT;1ATH;1AZX,
SLC12A2,P55011,6PZT;7D10;7MXO,
ADRA2A,P08913,1HLL;1HO9;1HOD,
HTR1A,P08908,7E2X;7E2Y;7E2Z,
AVPR2,P30518,4JQI;6NI2;6U1N,
PTGDR,Q13258,8ZVZ;8ZW0;9UWD,
CACNB1,Q02641,7VFS;7VFU;7VFV,
HTR3A,P46098,8AXD;8BL8;8BLA,
THRB,P10828,1BSX;1N46;1NAX,
CA2,P00918,12CA;1A42;1AM6,
TYMS,P04818,1HVY;1HW3;1HW4,
RRM1,P23921,2WGH;3HNC;3HND,
MTNR1B,P49286,6ME6;6ME7;6ME8,
HSD11B1,P28845,1XU7;1XU9;2BEL,
DHFR,P00374,1BOZ;1DHF;1DLR,
TTR,P02766,1BM7;1BMZ;1BZ8,
ADRA2C,P18825,6KUW,
CYP17A1,P05093,3RUK;3SWZ;4NKV,
GRIK1,P39086,2ZNS;2ZNT;2ZNU,
ATP4A,P20648,,AF-P20648-F1-model_v4
ADORA3,P0DMS8,8X16;8X17;9EBH,
CACNA1A,O00555,3BXK;8X90;8X91,
PPP3R1,P63098,1AUI;1M63;1MF8,
ALK,Q9UM73,2KUP;2KUQ;2XB7,
GRIN1,Q05586,2HQW;2NR1;3BYA,
PTGER2,P43116,7CX2;7CX3;7CX4,
KDR,P35968,1VR2;1Y6A;1Y6B,
RFK,Q969G6,1NB0;1NB9;1P4M,
PPAT,Q06203,,AF-Q06203-F1-model_v4
SLC6A8,P48029,9KR7;9KRH;9KRI,
CAMLG,P49069,6SO5;8CR1,
PROC,P04070,1AUT;1LQV;3F6U,
GABRA2,P47869,9CRV;9CSB;9CT0,
DHODH,Q02127,1D3G;1D3H;2B0M,
TACR1,P25103,2KS9;2KSA;2KSB,
IFNAR2,P48551,1N6U;1N6V;2HYM,
DRD4,P21917,5WIU;5WIV,
HTR2B,P41595,4IB4;4NC3;5TUD,
GRIN2D,O15399,7YFF;7YFL;7YFM,
FTH1,P02794,1FHA;2CEI;2CHI,
ADH1B,P00325,1DEH;1HDX;1HDY,
CCKAR,P32238,1D6G;1HZN;7EZH,
GGCX,P38435,9BUM;9BUR;9BUX,
ODC1,P11926,1D7K;2ON3;2OO0,
CHRM4,P08173,5DSG;6D9H;6KP6,
CPT1A,P50416,2LE3,
CKMT2,P17540,4Z9M,
CHRNA10,Q9GZZ6,,AF-Q9GZZ6-F1-model_v4
RXRA,P19793,1BY4;1DSZ;1FBY,
GLRA3,O75311,5CFB;5TIN;5TIO,
KCNN4,O15554,6CNM;6CNN;6CNO,
GRIN2B,Q13224,5EWJ;5EWL;5EWM,
SLC12A3,P55017,7Y6I;7YG0;7YG1,
OPRD1,P41143,4N6H;4RWA;4RWD,
ANXA1,P04083,1AIN;1BO9;1QLS,
LDHA,P00338,1I10;4AJP;4JNK,
ACHE,P22303,1B41;1F8U;1VZJ,
AKT1,P31749,1H10;1UNP;1UNQ,
CACNA1C,Q13936,1T0J;2BE6;2F3Y,
CALCR,P30988,5II0;5UZ7;6NIY,
GLRA1,P23415,1MOT;1VRY;2M6B,
ARAF,P10398,1WXM;2MSE;8VSL,
PDE3A,Q14432,7EG0;7EG1;7EG4,
ITGA2B,P08514,1DPK;1DPQ;1KUP,
HRH1,P35367,3RZE;7DFL;8YN2,
HTR2A,P28223,6A93;6A94;6WGT,
SSTR1,P30872,8XIO;8XIP;9IK8,
KIT,P10721,1PKG;1T45;1T46,
HPD,P32754,3ISQ;5EC3;8IM2,
HTR1F,P30939,7EXD,
NTSR2,O95665,,AF-O95665-F1-model_v4
ADH1C,P00326,1HT0;1U3W,
ABCC9,O60706,,AF-O60706-F1-model_v4
GABRA5,P31644,5O8F;5OJM;6A96,
GNRHR2,Q96P88,,AF-Q96P88-F1-model_v4
PTGIR,P43119,8X79;8X7A,
HTR1E,P28566,7E33;8UGY;8UH3,
UGCG,Q16739,,AF-Q16739-F1-model_v4
GABRA4,P48169,7QN5;7QN7;7QN9,
ALDH1B1,P30837,7MJC;7MJD;7RAD,
CACNA1G,O43497,6KZO;6KZP,
SLC6A2,P23975,8HFE;8HFF;8HFG,
PDE4B,Q07343,1F0J;1RO6;1RO9,
PCYT1B,Q9Y5K3,,AF-Q9Y5K3-F1-model_v4
SCNN1D,P51172,9BLR,
SCNN1G,P51170,6BQN;6WTH;9BLR,
ADRA1A,P35348,7YM8;7YMH;7YMJ,
SLC12A1,Q13621,,AF-Q13621-F1-model_v4
MT-ND1,P03886,5XTC;5XTD;9CWT,
TPO,P07202,,AF-P07202-F1-model_v4
CASR,P41180,5FBH;5FBK;5K5S,
ERBB2,P04626,1MFG;1MFL;1MW4,
MTNR1A,P48039,6ME2;6ME3;6ME4,
ITGAL,P20701,1CQP;1DGQ;1LFA,
EDNRA,P25101,8HCQ;8XVI;8XVJ,
GABRA3,P34903,9CTP,
QPRT,Q15274,2JBM;4KWV;4KWW,
ALB,P02768,1AO6;1BJ5;1BKE,
HTR2C,P28335,6BQG;6BQH;8DPF,
GRIN3B,O60391,,AF-O60391-F1-model_v4
CA4,P22748,1ZNC;3F7B;3F7U,
SRD5A1,P18405,,AF-P18405-F1-model_v4
GAPDH,P04406,1U8F;1ZNQ;3GPD,
POLA1,P09884,1K0P;1K18;1N5G,
KCNMA1,Q12791,2K44;3MT5;3NAF,
ALDH1A1,P00352,4WB9;4WJ9;4WP7,
NPR1,P16066,8TG9;8TGA;9BCL,
PGR,P06401,1A28;1E3K;1SQN,
IDH3B,O43837,6KDE;6KDF;6KDY,
CHRM2,P08172,3UON;4MQS;4MQT,
GAMT,Q14353,3ORH,
FOLH1,Q04609,1Z8L;2C6C;2C6G,
ADRA2B,P18089,6K41;6K42,
HMGCR,P04035,1DQ8;1DQ9;1DQA,
ADRA1B,P35368,,AF-P35368-F1-model_v4
SQLE,Q14534,6C6N;6C6P;6C6R,
DRD3,P35462,3PBL;7CMU;7CMV,
SRD5A2,P31213,7BW1,
ITGA4,P13612,3V4P;3V4V;4HKC,
AKR1C3,P42330,1RY0;1RY8;1S1P,
BLVRB,P30043,1HDO;1HE2;1HE3,
SLC25A4,P12235,,AF-P12235-F1-model_v4
ALDH3A2,P51648,4QGK,
SLC12A4,Q9UP95,6KKR;6KKT;6KKU,
PTGFR,P43088,8IQ4;8IQ6;8IUK,
TH,P07101,2XSN;4J6S;6ZN2,
ATP4B,P51164,,AF-P51164-F1-model_v4
AKR1C2,P52895,1IHI;1J96;1XJB,
PTPN1,P18031,1A5Y;1AAX;1BZC,
SLC25A6,P12236,,AF-P12236-F1-model_v4
HBB,P68871,1A00;1A01;1A0U,
PDE10A,Q9Y233,2OUN;2OUP;2OUQ,
OPRK1,P41145,4DJH;6B73;6VI4,
BRAF,P15056,1UWH;1UWJ;2FB8,
HCAR2,Q8TDS4,7XK2;7ZL9;7ZLY,
GRIA1,P42261,6X5Q,
GRIN3A,Q8TCU5,8USW;8USX;8UUE,
KCNJ1,P48048,,AF-P48048-F1-model_v4
SLC6A3,Q01959,8VBY;8Y2C;8Y2D,
GSR,P00390,1ALG;1BWC;1DNC,
HTR7,P34969,7XTC,
EPOR,P19235,1CN4;1EBA;1EBP,
HTR1D,P28221,7E32,
RARA,P10276,1DKF;1DSZ;3A9E,
CALY,Q9NYX4,,AF-Q9NYX4-F1-model_v4
NR3C2,P08235,1Y9R;1YA3;2A3I,
KCNQ1,P51787,3BJ4;3HFC;3HFE,
PRKAA1,Q13131,4RED;4RER;4REW,
CACNG1,Q06432,,AF-Q06432-F1-model_v4
PNLIP,P16233,1GPL;1LPA;1LPB,
SHBG,P04278,1D2S;1F5F;1KDK,
THRA,P10827,1NAV;2H77;2H79,
FFAR1,O14842,4PHU;5KW2;5TZR,
FGF1,P05230,1AXM;1DJS;1DZC,
CACNA2D1,P54289,7MIX;7MIY;7UHF,
IDO1,P14902,2D0T;2D0U;4PK5,
ADRB2,P07550,1GQ4;2R4R;2R4S,
FKBP1A,P62942,1A7X;1B6C;1BKF,
FPGS,Q05932,,AF-Q05932-F1-model_v4
ACACB,O00763,2DN8;2HJW;2KCC,
TNF,P01375,1A8M;1TNF;2AZ5,
CYSLTR1,Q9Y271,6RZ4;6RZ5,
RXRG,P48443,2GL8;7A79,
KCNJ11,Q14654,6C3O;6C3P;7S5T,
SLC25A5,P05141,,AF-P05141-F1-model_v4
VKORC1,Q9BQB6,6WV3;6WV4;6WV5,
CKM,P06732,1I0E;7BF2,
ADRA1D,P25100,,AF-P25100-F1-model_v4
PLAUR,Q03405,1YWH;2FD6;2I9B,
IMPDH2,P12268,1B3O;1NF7;1NFB,
CYP11B1,P15538,6M7X;7E7F,
ATP1A1,P05023,7E1Z;7E20;7E21,
MTR,Q99707,2O2K;4CCZ,
HMOX1,P09601,1N3U;1N45;1NI6,
TSPO,P30536,,AF-P30536-F1-model_v4
CHRNA2,Q15822,5FJV,
RYR1,P21817,6UHI;6UHS,
BLVRA,P53004,2H63,
TOP2A,P11388,1ZXM;1ZXN;4FM9,
GLRA2,P23416,5BKF;5BKG;7KUY,
AKR1B1,P15121,1ABN;1ADS;1AZ1,
FGFR2,P21802,1DJS;1E0O;1EV2,
SLC6A4,P31645,5I6X;5I6Z;5I71,
PAH,P00439,1DMW;1J8T;1J8U,
DRD2,P14416,5AER;6CM4;6LUQ,
TBXA2R,P21731,8XJN;8XJO,
GRIN2A,Q12879,3NFL;5H8F;5H8H,
IMPDH1,P20839,1JCN;7RER;7RES,
GABRA6,Q16445,,AF-Q16445-F1-model_v4
CLCN2,P51788,7XF5;7XJA;8GQU,
EGFR,P00533,1IVO;1M14;1M17,
OPRM1,P35372,8EF5;8EF6;8EFB,
IDH3G,P51553,5GRE;5GRF;5GRH,
AVPR1B,P47901,,AF-P47901-F1-model_v4
FDPS,P14324,1YQ7;1YV5;1ZW5,
MMUT,P22033,2XIJ;2XIQ;3BIC,
VDR,P11473,1DB1;1IE8;1IE9,
MDH2,P40926,2DFD;4WLE;4WLF,
KCNA1,Q09470,,AF-Q09470-F1-model_v4
NNMT,P40261,2IIP;3ROD;5YJF,
ABCC1,P33527,2CBZ;4C3Z;8VT4,
ESR2,Q92731,1L2J;1NDE;1QKM,
NR3C1,P04150,1M2Z;1NHZ;1P93,
GABRA1,P14867,6CDU;6D1S;6D6T,
HTR1B,P28222,4IAQ;4IAR;5V54,
NPC1L1,Q9UHC9,3QNT;7DF8;7DFW,
GRIA2,P42262,2WJW;2WJX;2XHD,
GRIA4,P48058,,AF-P48058-F1-model_v4
GRIA3,P42263,,AF-P42263-F1-model_v4
HCAR3,P49019,8IHJ;8IHK;8JEF,
MGAM,O43451,2QLY;2QMJ;3CTT,
SRC,P12931,1A07;1A08;1A09,
FYN,P06241,1A0N;1AOT;1AOU,
YES1,P07947,2HDA,
EPHA2,P29317,1MQB;2E8N;2K9Y,
LCK,P06239,1BHF;1BHH;1CWD,
OXTR,P30559,6TPK;7QVM;7RYC,
BHMT,Q93088,1LT7;1LT8;4M3P,
MC2R,Q01718,8GY7;9K3L,
CHRNA4,P43681,2LLY;5KXI;6CNJ,
CHRNB2,P17787,2K58;2K59;2KSR,
PDGFRA,P16234,1GQ5;5GRN;5K5X,
CSF1R,P07333,2I0V;2I0Y;2I1M,
DPP4,P27487,1J2E;1N1M;1NU6,
C5,P01031,1CFA;1KJS;1XWE,
GLP1R,P43220,3C59;3C5T;3IOL,
RAMP1,O60894,2YX8;3N7P;3N7R,
RAMP2,O60895,2XVT;3AQE;3AQF,
RAMP3,O60896,6UUS;6UVA;7TZF,
CACNA1H,O95180,9AYG;9AYH;9AYJ,
CARTPT,Q16568,1HY9,
MAP2K1,Q02750,1S9J;2P55;3DV3,
GAA,P10253,5KZW;5KZX;5NN3,
SLC22A11,Q9NSA0,8WJH;9M9Y;9U5A,
HDAC9,Q9UKV0,8Q9N;8Q9R,
GART,P22102,1MEJ;1MEN;1MEO,
FADS1,O60427,,AF-O60427-F1-model_v4
DNMT1,P26358,3EPZ;3PTA;3SWR,
ALPG,P10696,,AF-P10696-F1-model_v4
PRDX5,P30044,1H4O;1HD2;1OC3,
CCR5,P51681,2L87;2MZX;2RLL,
NEU1,Q99519,,AF-Q99519-F1-model_v4
MET,P08581,1FYR;1R0P;1R1W,
CXCR4,P61073,2K03;2K04;2K05,
MAPK1,P28482,1PME;1TVO;1WZY,
ADORA2A,P29274,2YDO;2YDV;3EML,
F2R,P25116,1NRN;1NRO;1NRP,
PROS1,P07225,1Z6C,
HTR6,P50406,7XTB;7YS6;8JLZ,
EGF,P01133,1IVO;1JL9;1NQL,
NR1I2,O75469,1ILG;1ILH;1M13,
DPYD,Q12882,,AF-Q12882-F1-model_v4
CXCL8,P10145,1ICW;1IKL;1IKM,
MMP13,P45452,1EUB;1FLS;1FM1,
HRH3,Q9Y5N1,7F61;8YN5;8YN6,
TOP1,P11387,1A31;1A35;1A36,
IL12B,P29460,1F42;1F45;3D85,
ACE2,Q9BYF1,1R42;1R4L;2AJF,
TGFB1,P01137,1KLA;1KLC;1KLD,
SLC8A1,P32418,8JP0;8SGI;8SGJ,
TPMT,P51580,2BZG;2H11,
SV2A,Q7L0J3,4V11;8JLC;8JLE,
LTF,P02788,1B0L;1BKA;1CB6,
FPR1,P21462,7EUO;7T6T;7VFX,
NPR2,P20594,,AF-P20594-F1-model_v4
AOC3,Q16853,1PU4;1US1;2C10,
PPARD,Q03181,1GWX;1Y0S;2AWH,
ADRB3,P13945,9IJD;9IJE,
PPIA,P62937,1AK4;1AWQ;1AWR,
FGF2,P09038,1BAS;1BFB;1BFC,
ROCK1,Q13464,1S1C;2ESM;2ETK,
TRPV1,Q8NER1,6L93;8GF8;8GF9,
TNNC1,P63316,1AP4;1IH0;1J1D,
CCND1,P24385,2W96;2W99;2W9F,
KCNJ3,P48549,,AF-P48549-F1-model_v4
FECH,P22830,1HRK;2HRC;2HRE,
TGM2,P21980,1KV3;2Q3Z;3LY6,
NTRK1,P04629,1HE7;1SHC;1WWA,
JUN,P05412,1A02;1FOS;1JNM,
TAAR1,Q96RJ0,8JLN;8JLO;8JLP,
SLC46A1,Q96NT5,,AF-Q96NT5-F1-model_v4
IL1B,P01584,1HIB;1I1B;1IOB,
GCH1,P30793,1FB1;6Z80;6Z85,
MAPK3,P27361,2ZOQ;4QTB;6GES,
SLC22A6,Q4U2R8,9J02;9J04;9J06,
ABCG2,Q9UNQ0,5NJ3;5NJG;6ETI,
ABCC2,Q92887,8IZQ;8IZR;8JX7,
SST,P61278,2MI1;7T10;7WIC,
ICAM1,P05362,1D3E;1D3I;1D3L,
NFKB1,P19838,1MDI;1MDJ;1MDK,
PLAT,P00750,1A5H;1BDA;1PK2,
G6PD,P11413,1QKI;2BH9;2BHL,
NT5E,P21589,4H1S;4H1Y;4H2B,
MAPK10,P53779,1JNK;1PMN;1PMU,
MAP2,P11137,,AF-P11137-F1-model_v4
CD44,P16070,1POZ;1UUH;2I83,
HSP90AA1,P07900,1BYQ;1OSF;1UY6,
TRPA1,O75762,3J9P;6HC8;6PQO,
KCNJ12,Q14500,,AF-Q14500-F1-model_v4
PRKCA,P17252,2ELI;3IW4;4DNL,
PDE4A,P27815,2QYK;3I8V;3TVX,
SCN9A,Q15858,5EK0;6J8G;6J8H,
DPEP1,P16444,1ITQ;1ITU,
IKBKB,O14920,3BRT;3BRV;4E3C,
ITGB3,P05106,1JV2;1KUP;1KUZ,
XIAP,P98170,1C9Q;1F9X;1G3F,
CCKBR,P32239,1L4T;7F8V;7F8W,
PROCR,Q9UNN8,1L8J;1LQV;3JTC,
CASP3,P42574,1CP3;1GFW;1I3O,
TLR2,O60603,1FYW;1FYX;1O77,
HPGDS,O60760,1IYH;1IYI;1V40,
MAP1A,P78559,,AF-P78559-F1-model_v4
ANXA2,P07355,1W7B;1XJL;2HYU,
TLR9,Q9NR96,8AR3;9L48;9L49,
AKT2,P31751,1GZK;1GZN;1GZO,
SI,P14410,3LPO;3LPP,
IDE,P14735,2G47;2G48;2G49,
NQO1,P15559,1D4A;1DXO;1GG5,
TRPM8,Q7Z2W7,8BDC,
GRM5,P41594,3LMK;4OO9;5CGC,
FABP4,P15090,1TOU;1TOW;2HNX,
CFTR,P13569,1XMI;1XMJ;2BBO,
FGFR4,P22455,4QQ5;4QQC;4QQJ,
SLC29A1,Q99808,6OB6;6OB7;8TZI,
CAT,P04040,1DGB;1DGF;1DGG,
ATIC,P31939,1P4R;1PKX;1PL0,
BST1,Q10588,1ISF;1ISG;1ISH,
IDH1,O75874,1T09;1T0L;3INM,
TK1,P04183,1W4R;1XBT;2ORV,
BTK,Q06187,1AWW;1AWX;1B55,
PDE4D,Q08499,1E9K;1MKD;1OYN,
PIK3CG,P48736,1E8Y;1E8Z;1HE8,
SYK,P43405,1A81;1CSY;1CSZ,
TUBA1A,Q71U36,5JCO;6J8F;6WSL,
ITK,Q08881,1SM2;1SNU;1SNX,
TUBB4B,P68371,7UN1;7UNG;8J07,
TUBA4A,P68366,,AF-P68366-F1-model_v4
PPIF,P30405,2BIT;2BIU;2Z6W,
TUBB3,Q13509,5IJ0;5IJ9;5JCO,
HCK,P08631,1AD5;1BU1;1QCF,
METAP2,P50579,1B59;1B6A;1BN5,
NR1H2,P55055,1P8D;1PQ6;1PQ9,
PLA2G2A,P14555,1AYP;1BBC;1DB4,
CA12,O43570,1JCZ;1JD0;4HT2,
CFB,P00751,1DLE;1Q0P;1RRK,
RAB9A,P51151,1WMS;7E1T,
PARP1,P09874,1UK0;1UK1;1WOK,
PRSS1,P07477,1FXY;1TRN;2RA3,
NR1H4,Q96RI1,1OSH;3BEJ;3DCT,
FABP7,O15540,1FDQ;1FE3;1JJX,
CFD,P00746,1BIO;1DFP;1DIC,
TXNRD1,Q16881,2CFY;2J3N;2ZZ0,
FABP5,Q01469,1B56;1JJJ;4AZM,
SCN2A,Q99250,2KAV;4JPZ;4RLY,
SCN3A,Q9NY46,7W77;7W7F,
SCN4A,P35499,6AGF;6MBA;6MC9,
SCN8A,Q9UQD0,8FHD;8GZ1;8GZ2,
ESRRG,P62508,1KV6;1TFC;1VJB,
COMT,P21964,3A7E;3BWM;3BWY,
CYP19A1,P11511,3EQM;3S79;3S7S,
FGFR1,P11362,1AGW;1CVS;1EVT,
FGFR3,P22607,1RY7;2LZL;4K33,
PPP3R2,Q96LZ3,,AF-Q96LZ3-F1-model_v4
SSTR5,P35346,8X8L;8X8N;8ZBE,
DDC,P20711,3RBF;3RBL;3RCH,
BCHE,P06276,1P0I;1P0M;1P0P,
TYMP,P19971,1UOU;2J0F;2WK5,
MAOB,P27338,1GOS;1OJ9;1OJA,
MAOA,P21397,2BXR;2BXS;2Z5X,
PDF,Q9HBH1,3G5K;3G5P,
XDH,P47989,2CKJ;2E1Q,
EGLN2,Q96KS0,5V1B,
CDK6,Q00534,1BI7;1BI8;1BLX,
ADA,P00813,3IAR;7RTG,
CDK4,P11802,2W96;2W99;2W9F,
EGLN1,Q9GZT9,2G19;2G1M;2HBT,
EGLN3,Q9H6Z9,,AF-Q9H6Z9-F1-model_v4
CACNA1B,Q00975,2LCM;7MIX;7MIY,
FADS2,O95864,,AF-O95864-F1-model_v4
SDHD,O14521,8GS8,
VKORC1L1,Q8N0U8,,AF-Q8N0U8-F1-model_v4
GABBR2,O75899,4F11;4F12;4MQE,
CHRNA7,P36544,2MAW;5AFH;5AFJ,
GABRB1,P18505,9CTV;9CXB;9CXD,
GABRB3,P28472,4COF;5O8F;5OJM,
GABRB2,P47870,6D6T;6D6U;6X3S,
PSMB1,P20618,4R3O;4R67;5A0Q,
PSMB5,P28074,4R3O;4R67;5A0Q,
PSMB2,P49721,4R3O;4R67;5A0Q,
PDE4C,Q08493,2QYM,
CACNB2,Q08289,8HLP;8HMA;8HMB,
CACNA1S,Q13698,2VAY;6B27,
CACNB4,O00305,2D46,
CACNA1F,O60840,,AF-O60840-F1-model_v4
CACNB3,P54284,7MIX;7MIY;7UHF,
CACNA1D,Q01668,3LV3;7UHF;7UHG,
CYP3A5,P20815,5VEU;6MJM;7LAD,
CYP2D6,P10635,2F9Q;3QM4;3TBG,
HDAC1,Q13547,4BKX;5ICN;6Z2J,
HDAC2,Q92769,3MAX;4LXZ;4LY1,
HDAC3,O15379,4A69,
HDAC6,Q9UBN7,3C5K;3GV4;3PHD,
TACR3,P29371,8JBF;8JBG;8JBH,
FNTB,P49356,1JCQ;1LD7;1LD8,
FNTA,P49354,1JCQ;1LD7;1LD8,
PTGER3,P43115,6AK3;6M9T;7WU9,
PIK3CA,P42336,2ENQ;2RD0;3HHM,
MTOR,P42345,1AUE;1FAP;1NSG,
NFKB2,Q00653,1A3Q;2D96;3DO7,
CACNA2D2,Q9NY47,,AF-Q9NY47-F1-model_v4
KCNQ3,O43525,5J03,
RPSA,P08865,3BCH;4UG0;4V5Z,
PIK3CD,O00329,5DXU;5M6U;5T8F,
JAK2,O60674,2B7A;2W1I;2XA4,
RET,P07949,2IVS;2IVT;2IVU,
PRKCD,Q05655,1YRK;2YUU,
GLA,P06280,1R46;1R47;3GXN,
TOP2B,Q02880,3QX3;4G0U;4G0V,
S1PR5,Q9H228,7EW1;7YXA,
HNMT,P50135,1JQD;1JQE;2AOT,
CA9,Q16790,2HKF;3IAI;5DVX,
KLKB1,P03952,2ANW;2ANY;4OGX,
KCNJ8,Q15842,,AF-Q15842-F1-model_v4
TLR4,O00206,2Z62;2Z63;2Z65,
CDA,P32320,1MQ0,
MC1R,Q01726,7F4D;7F4F;7F4H,
TERT,O14746,2BCK;4B18;4MNQ,
RRM2,P31350,2UW2;3OLJ;3VPM,
SERPING1,P05155,2OAY;5DU3;5DUQ,
