DiseaseName,DiseaseID,DrugBankID,DrugName
Hepatitis C,MESH:D006526,DB00034,Interferon alfa-2a
Coma,MESH:D003128,DB00034,Interferon alfa-2a
Sarcoma,MESH:D012509,DB00034,Interferon alfa-2a
Diabetes Insipidus,MESH:D003919,DB00035,Desmopressin
Polyuria,MESH:D011141,DB00035,Desmopressin
Hemophilia A,MESH:D006467,DB00035,Desmopressin
Disease,MESH:D004194,DB00035,Desmopressin
Polydipsia,MESH:D059606,DB00035,Desmopressin
Hemophilia A,MESH:D006467,DB00036,Coagulation factor VIIa Recombinant Human
Thrombocytopenia,MESH:D013921,DB00038,Oprelvekin
Mucositis,MESH:D052016,DB00039,Palifermin
Hypoglycemia,MESH:D007003,DB00040,Glucagon
Carcinoma,MESH:D002277,DB00041,Aldesleukin
Pain,MESH:D010146,DB00042,Botulinum toxin type B
Dystonia,MESH:D004421,DB00042,Botulinum toxin type B
Asthma,MESH:D001249,DB00043,Omalizumab
Urticaria,MESH:D014581,DB00043,Omalizumab
Nasal Polyps,MESH:D009298,DB00043,Omalizumab
Anaphylaxis,MESH:D000707,DB00043,Omalizumab
Sinusitis,MESH:D012852,DB00043,Omalizumab
Polyps,MESH:D011127,DB00043,Omalizumab
Infertility,MESH:D007246,DB00044,Lutropin alfa
Hypogonadism,MESH:D007006,DB00044,Lutropin alfa
Disease,MESH:D004194,DB00045,Lyme disease vaccine (recombinant OspA)
Diabetes Mellitus,MESH:D003920,DB00046,Insulin lispro
Diabetes Mellitus,MESH:D003920,DB00047,Insulin glargine
Contracture,MESH:D003286,DB00048,Collagenase clostridium histolyticum
Ulcer,MESH:D014456,DB00048,Collagenase clostridium histolyticum
Disease,MESH:D004194,DB00048,Collagenase clostridium histolyticum
Hyperuricemia,MESH:D033461,DB00049,Rasburicase
Colitis,MESH:D003092,DB00051,Adalimumab
Uveitis,MESH:D014605,DB00051,Adalimumab
Psoriasis,MESH:D011565,DB00051,Adalimumab
Arthritis,MESH:D001168,DB00051,Adalimumab
Ulcer,MESH:D014456,DB00051,Adalimumab
Disease,MESH:D004194,DB00051,Adalimumab
Hidradenitis Suppurativa,MESH:D017497,DB00051,Adalimumab
Pyoderma Gangrenosum,MESH:D017511,DB00051,Adalimumab
Body Weight,MESH:D001835,DB00052,Somatotropin
Turner Syndrome,MESH:D014424,DB00052,Somatotropin
Cachexia,MESH:D002100,DB00052,Somatotropin
Hypopituitarism,MESH:D007018,DB00052,Somatotropin
Disease,MESH:D004194,DB00052,Somatotropin
Disease,MESH:D004194,DB00053,Imiglucerase
Sepsis,MESH:D018805,DB00055,Drotrecogin alfa
Leukemia,MESH:D007938,DB00056,Gemtuzumab ozogamicin
Emphysema,MESH:D004646,DB00058,Alpha-1-proteinase inhibitor
Hypersensitivity,MESH:D006967,DB00059,Pegaspargase
Leukemia,MESH:D007938,DB00059,Pegaspargase
Multiple Sclerosis,MESH:D009103,DB00060,Interferon beta-1a
Sclerosis,MESH:D012598,DB00060,Interferon beta-1a
Respiratory Distress Syndrome,MESH:D012128,DB00062,Albumin human
Nephrosis,MESH:D009401,DB00062,Albumin human
Hypoalbuminemia,MESH:D034141,DB00062,Albumin human
Ascites,MESH:D001201,DB00062,Albumin human
Burns,MESH:D002056,DB00062,Albumin human
Myocardial Infarction,MESH:D009203,DB00063,Eptifibatide
Acute Coronary Syndrome,MESH:D054058,DB00063,Eptifibatide
Infarction,MESH:D007238,DB00063,Eptifibatide
Colitis,MESH:D003092,DB00065,Infliximab
Arthritis,MESH:D001168,DB00065,Infliximab
Ulcer,MESH:D014456,DB00065,Infliximab
Disease,MESH:D004194,DB00065,Infliximab
Signs and Symptoms,MESH:D012816,DB00065,Infliximab
Hypogonadism,MESH:D007006,DB00066,Follitropin
Shock,MESH:D012769,DB00067,Vasopressin
Multiple Sclerosis,MESH:D009103,DB00068,Interferon beta-1b
Disease,MESH:D004194,DB00068,Interferon beta-1b
Sclerosis,MESH:D012598,DB00068,Interferon beta-1b
Melanoma,MESH:D008545,DB00069,Interferon alfacon-1
Leukemia,MESH:D007938,DB00069,Interferon alfacon-1
Coma,MESH:D003128,DB00069,Interferon alfacon-1
Sarcoma,MESH:D012509,DB00069,Interferon alfacon-1
Diabetes Mellitus,MESH:D003920,DB00071,Insulin pork
Carcinoma,MESH:D002277,DB00072,Trastuzumab
Adenocarcinoma,MESH:D000230,DB00072,Trastuzumab
Disease,MESH:D004194,DB00072,Trastuzumab
Burkitt Lymphoma,MESH:D002051,DB00073,Rituximab
Leukemia,MESH:D007938,DB00073,Rituximab
Lymphoma,MESH:D008223,DB00073,Rituximab
Pemphigus,MESH:D010392,DB00073,Rituximab
Arthritis,MESH:D001168,DB00073,Rituximab
Disease,MESH:D004194,DB00073,Rituximab
Granulomatosis with Polyangiitis,MESH:D014890,DB00073,Rituximab
Lymphoma,MESH:D008223,DB00078,Ibritumomab tiuxetan
Pneumonia,MESH:D011014,DB00080,Daptomycin
Bacteremia,MESH:D016470,DB00080,Daptomycin
Infections,MESH:D007239,DB00080,Daptomycin
Lymphoma,MESH:D008223,DB00081,Tositumomab
Acromegaly,MESH:D000172,DB00082,Pegvisomant
Pain,MESH:D010146,DB00083,Botulinum toxin type A
Stroke,MESH:D020521,DB00083,Botulinum toxin type A
Dystonia,MESH:D004421,DB00083,Botulinum toxin type A
Neuralgia,MESH:D009437,DB00083,Botulinum toxin type A
Trigeminal Neuralgia,MESH:D014277,DB00083,Botulinum toxin type A
Spasm,MESH:D013035,DB00083,Botulinum toxin type A
Fibrosis,MESH:D005355,DB00085,Pancrelipase
Weight Loss,MESH:D015431,DB00085,Pancrelipase
Pancreatic Diseases,MESH:D010182,DB00085,Pancrelipase
Pancreatitis,MESH:D010195,DB00085,Pancrelipase
Malnutrition,MESH:D044342,DB00085,Pancrelipase
Cystic Fibrosis,MESH:D003550,DB00085,Pancrelipase
Disease,MESH:D004194,DB00085,Pancrelipase
Myocardial Infarction,MESH:D009203,DB00086,Streptokinase
Thrombosis,MESH:D013927,DB00086,Streptokinase
Pulmonary Embolism,MESH:D011655,DB00086,Streptokinase
Infarction,MESH:D007238,DB00086,Streptokinase
Embolism,MESH:D004617,DB00086,Streptokinase
Multiple Sclerosis,MESH:D009103,DB00087,Alemtuzumab
Leukemia,MESH:D007938,DB00087,Alemtuzumab
Disease,MESH:D004194,DB00087,Alemtuzumab
Sclerosis,MESH:D012598,DB00087,Alemtuzumab
Gaucher Disease,MESH:D005776,DB00088,Alglucerase
Anemia,MESH:D000740,DB00088,Alglucerase
Splenomegaly,MESH:D013163,DB00088,Alglucerase
Thrombocytopenia,MESH:D013921,DB00088,Alglucerase
Disease,MESH:D004194,DB00088,Alglucerase
Signs and Symptoms,MESH:D012816,DB00088,Alglucerase
Dermatitis,MESH:D003872,DB00091,Cyclosporine
Nephrotic Syndrome,MESH:D009404,DB00091,Cyclosporine
Blister,MESH:D001768,DB00091,Cyclosporine
Colitis,MESH:D003092,DB00091,Cyclosporine
Glomerulonephritis,MESH:D005921,DB00091,Cyclosporine
Nephritis,MESH:D009393,DB00091,Cyclosporine
Uveitis,MESH:D014605,DB00091,Cyclosporine
Psoriasis,MESH:D011565,DB00091,Cyclosporine
Arthritis,MESH:D001168,DB00091,Cyclosporine
C SYNDROME,OMIM:211750,DB00091,Cyclosporine
Ulcer,MESH:D014456,DB00091,Cyclosporine
Disease,MESH:D004194,DB00091,Cyclosporine
Sclerosis,MESH:D012598,DB00091,Cyclosporine
Connective Tissue Diseases,MESH:D003240,DB00091,Cyclosporine
Psoriasis,MESH:D011565,DB00092,Alefacept
Infertility,MESH:D007246,DB00094,Urofollitropin
Psoriasis,MESH:D011565,DB00095,Efalizumab
Infertility,MESH:D007246,DB00097,Choriogonadotropin alfa
Neutropenia,MESH:D009503,DB00099,Filgrastim
Leukemia,MESH:D007938,DB00099,Filgrastim
Fever,MESH:D005334,DB00099,Filgrastim
Infections,MESH:D007239,DB00099,Filgrastim
Ulcer,MESH:D014456,DB00099,Filgrastim
Cyclic neutropenia,MESH:C536227,DB00099,Filgrastim
Disease,MESH:D004194,DB00100,Coagulation Factor IX (Recombinant)
Ulcer,MESH:D014456,DB00102,Becaplermin
Skin Ulcer,MESH:D012883,DB00102,Becaplermin
Disease,MESH:D004194,DB00103,Agalsidase beta
Fabry Disease,MESH:D000795,DB00103,Agalsidase beta
Diarrhea,MESH:D003967,DB00104,Octreotide
Flushing,MESH:D005483,DB00104,Octreotide
Acromegaly,MESH:D000172,DB00104,Octreotide
Vipoma,MESH:D003969,DB00104,Octreotide
Carcinoid Tumor,MESH:D002276,DB00104,Octreotide
Melanoma,MESH:D008545,DB00105,Interferon alfa-2b
Leukemia,MESH:D007938,DB00105,Interferon alfa-2b
Coma,MESH:D003128,DB00105,Interferon alfa-2b
Sarcoma,MESH:D012509,DB00105,Interferon alfa-2b
Hemorrhage,MESH:D006470,DB00107,Oxytocin
Inflammation,MESH:D007249,DB00108,Natalizumab
Multiple Sclerosis,MESH:D009103,DB00108,Natalizumab
Disease,MESH:D004194,DB00108,Natalizumab
Sclerosis,MESH:D012598,DB00108,Natalizumab
Disease,MESH:D004194,DB00110,Palivizumab
Carcinoma,MESH:D002277,DB00112,Bevacizumab
Respiratory Distress Syndrome,MESH:D012128,DB00112,Bevacizumab
Lung Injury,MESH:D055370,DB00112,Bevacizumab
Acute Lung Injury,MESH:D055371,DB00112,Bevacizumab
Glioblastoma,MESH:D005909,DB00112,Bevacizumab
Anemia,MESH:D000740,DB00115,Cyanocobalamin
Hemorrhage,MESH:D006470,DB00115,Cyanocobalamin
Neurologic Manifestations,MESH:D009461,DB00115,Cyanocobalamin
Folic Acid Deficiency,MESH:D005494,DB00115,Cyanocobalamin
Disease,MESH:D004194,DB00115,Cyanocobalamin
Thyrotoxicosis,MESH:D013971,DB00115,Cyanocobalamin
Anemia,MESH:D000740,DB00117,Histidine
Uremia,MESH:D014511,DB00117,Histidine
Arthritis,MESH:D001168,DB00117,Histidine
Osteoarthritis,MESH:D010003,DB00118,Ademetionine
Arthritis,MESH:D001168,DB00118,Ademetionine
Vitiligo,MESH:D014820,DB00120,Phenylalanine
Herpes Simplex,MESH:D006561,DB00123,Lysine
Disease,MESH:D004194,DB00130,L-Glutamine
Tics,MESH:D020323,DB00133,Serine
Narcolepsy,MESH:D009290,DB00135,Tyrosine
Fatigue,MESH:D005221,DB00135,Tyrosine
Osteoporosis,MESH:D010024,DB00136,Calcitriol
Hypocalcemia,MESH:D006996,DB00136,Calcitriol
Hypoparathyroidism,MESH:D007011,DB00136,Calcitriol
Rickets,MESH:D012279,DB00136,Calcitriol
Vitamin D Deficiency,MESH:D014808,DB00136,Calcitriol
Hypophosphatemia,MESH:D017674,DB00136,Calcitriol
Osteoarthritis,MESH:D010003,DB00138,Cystine
Arthritis,MESH:D001168,DB00138,Cystine
Osteoarthritis,MESH:D010003,DB00141,N-Acetylglucosamine
Arthritis,MESH:D001168,DB00141,N-Acetylglucosamine
Schizophrenia,MESH:D012559,DB00142,Glutamic acid
Alcoholism,MESH:D000437,DB00142,Glutamic acid
Ulcer,MESH:D014456,DB00142,Glutamic acid
Fatigue,MESH:D005221,DB00142,Glutamic acid
Dementia,MESH:D003704,DB00144,Phosphatidyl serine
Disease,MESH:D004194,DB00144,Phosphatidyl serine
Osteoporosis,MESH:D010024,DB00146,Calcifediol
Hypocalcemia,MESH:D006996,DB00146,Calcifediol
Hypoparathyroidism,MESH:D007011,DB00146,Calcifediol
Rickets,MESH:D012279,DB00146,Calcifediol
Vitamin D Deficiency,MESH:D014808,DB00146,Calcifediol
Hypophosphatemia,MESH:D017674,DB00146,Calcifediol
Pain,MESH:D010146,DB00150,Tryptophan
Hypoparathyroidism,MESH:D007011,DB00153,Ergocalciferol
Rickets,MESH:D012279,DB00153,Ergocalciferol
Disease,MESH:D004194,DB00153,Ergocalciferol
Osteomalacia,MESH:D010018,DB00153,Ergocalciferol
Hypophosphatemia,MESH:D017674,DB00153,Ergocalciferol
Fatigue,MESH:D005221,DB00157,NADH
Disease,MESH:D004194,DB00157,NADH
Anemia,MESH:D000740,DB00158,Folic acid
Folic Acid Deficiency,MESH:D005494,DB00158,Folic acid
Fibrosis,MESH:D005355,DB00159,Icosapent
Cystic Fibrosis,MESH:D003550,DB00159,Icosapent
Disease,MESH:D004194,DB00159,Icosapent
Tics,MESH:D020323,DB00159,Icosapent
Hepatic Encephalopathy,MESH:D006501,DB00161,Valine
Vitamin A Deficiency,MESH:D014802,DB00162,Vitamin A
Fibrosis,MESH:D005355,DB00163,Vitamin E
Cholestasis,MESH:D002779,DB00163,Vitamin E
Cystic Fibrosis,MESH:D003550,DB00163,Vitamin E
Disease,MESH:D004194,DB00163,Vitamin E
Abetalipoproteinemia,MESH:D000012,DB00163,Vitamin E
Vitamin E Deficiency,MESH:D014811,DB00163,Vitamin E
Nausea,MESH:D009325,DB00165,Pyridoxine
Vomiting,MESH:D014839,DB00165,Pyridoxine
Hepatic Encephalopathy,MESH:D006501,DB00167,Isoleucine
Osteoporosis,MESH:D010024,DB00169,Cholecalciferol
Hypoparathyroidism,MESH:D007011,DB00169,Cholecalciferol
Rickets,MESH:D012279,DB00169,Cholecalciferol
Disease,MESH:D004194,DB00169,Cholecalciferol
Vitamin D Deficiency,MESH:D014808,DB00169,Cholecalciferol
Hypophosphatemia,MESH:D017674,DB00169,Cholecalciferol
Atherosclerosis,MESH:D050197,DB00175,Pravastatin
Hypercholesterolemia,MESH:D006937,DB00175,Pravastatin
Dyslipidemias,MESH:D050171,DB00175,Pravastatin
Stroke,MESH:D020521,DB00175,Pravastatin
Cardiovascular Diseases,MESH:D002318,DB00175,Pravastatin
Myocardial Infarction,MESH:D009203,DB00175,Pravastatin
Vascular Diseases,MESH:D014652,DB00175,Pravastatin
Death,MESH:D003643,DB00175,Pravastatin
Infarction,MESH:D007238,DB00175,Pravastatin
Disease,MESH:D004194,DB00175,Pravastatin
Sclerosis,MESH:D012598,DB00175,Pravastatin
Hypertension,MESH:D006973,DB00177,Valsartan
Heart Failure,MESH:D006333,DB00177,Valsartan
Stroke,MESH:D020521,DB00177,Valsartan
Myocardial Infarction,MESH:D009203,DB00177,Valsartan
Ventricular Dysfunction,MESH:D018754,DB00177,Valsartan
Infarction,MESH:D007238,DB00177,Valsartan
Diabetes Mellitus,MESH:D003920,DB00178,Ramipril
Hypertension,MESH:D006973,DB00178,Ramipril
Heart Failure,MESH:D006333,DB00178,Ramipril
Stroke,MESH:D020521,DB00178,Ramipril
Myocardial Infarction,MESH:D009203,DB00178,Ramipril
Death,MESH:D003643,DB00178,Ramipril
Infarction,MESH:D007238,DB00178,Ramipril
Disease,MESH:D004194,DB00178,Ramipril
Asthma,MESH:D001249,DB00180,Flunisolide
Pain,MESH:D010146,DB00181,Baclofen
Spinal Cord Diseases,MESH:D013118,DB00181,Baclofen
Multiple Sclerosis,MESH:D009103,DB00181,Baclofen
Spinal Cord Injuries,MESH:D013119,DB00181,Baclofen
Tic Disorders,MESH:D013981,DB00181,Baclofen
Disease,MESH:D004194,DB00181,Baclofen
Spasm,MESH:D013035,DB00181,Baclofen
Sclerosis,MESH:D012598,DB00181,Baclofen
Obesity,MESH:D009765,DB00182,Amphetamine
Mental Disorders,MESH:D001523,DB00182,Amphetamine
Pain,MESH:D010146,DB00182,Amphetamine
Narcolepsy,MESH:D009290,DB00182,Amphetamine
Chronic Pain,MESH:D059350,DB00182,Amphetamine
Nausea,MESH:D009325,DB00186,Lorazepam
Vomiting,MESH:D014839,DB00186,Lorazepam
Status Epilepticus,MESH:D013226,DB00186,Lorazepam
Anxiety Disorders,MESH:D001008,DB00186,Lorazepam
Panic Disorder,MESH:D016584,DB00186,Lorazepam
Amnesia,MESH:D000647,DB00186,Lorazepam
Catatonia,MESH:D002389,DB00186,Lorazepam
Spasm,MESH:D013035,DB00186,Lorazepam
Alcohol Withdrawal Delirium,MESH:D000430,DB00186,Lorazepam
Atrial Fibrillation,MESH:D001281,DB00187,Esmolol
Tachycardia,MESH:D013610,DB00187,Esmolol
Multiple Myeloma,MESH:D009101,DB00188,Bortezomib
Lymphoma,MESH:D008223,DB00188,Bortezomib
Nausea,MESH:D009325,DB00190,Carbidopa
Parkinson Disease,MESH:D010300,DB00190,Carbidopa
Vomiting,MESH:D014839,DB00190,Carbidopa
Disease,MESH:D004194,DB00190,Carbidopa
Obesity,MESH:D009765,DB00191,Phentermine
Hypertension,MESH:D006973,DB00191,Phentermine
Overweight,MESH:D050177,DB00191,Phentermine
Tachycardia,MESH:D013610,DB00192,Indecainide
Pain,MESH:D010146,DB00193,Tramadol
Herpes Simplex,MESH:D006561,DB00194,Vidarabine
Hypertension,MESH:D006973,DB00195,Betaxolol
Inflammation,MESH:D007249,DB00196,Fluconazole
Candidiasis,MESH:D002177,DB00196,Fluconazole
Peritonitis,MESH:D010538,DB00196,Fluconazole
Meningitis,MESH:D008581,DB00196,Fluconazole
Infections,MESH:D007239,DB00196,Fluconazole
Diabetes Mellitus,MESH:D003920,DB00197,Troglitazone
Hypersensitivity,MESH:D006967,DB00199,Erythromycin
Pneumonia,MESH:D011014,DB00199,Erythromycin
Cough,MESH:D003371,DB00199,Erythromycin
Fever,MESH:D005334,DB00199,Erythromycin
Infections,MESH:D007239,DB00199,Erythromycin
Listeriosis,MESH:D008088,DB00199,Erythromycin
Respiratory Tract Infections,MESH:D012141,DB00199,Erythromycin
Disease,MESH:D004194,DB00199,Erythromycin
Poisoning,MESH:D011041,DB00200,Hydroxocobalamin
Diarrhea,MESH:D003967,DB00200,Hydroxocobalamin
Anemia,MESH:D000740,DB00200,Hydroxocobalamin
Alcoholism,MESH:D000437,DB00200,Hydroxocobalamin
Hyperthyroidism,MESH:D006980,DB00200,Hydroxocobalamin
Disease,MESH:D004194,DB00200,Hydroxocobalamin
Pain,MESH:D010146,DB00201,Caffeine
Apnea,MESH:D001049,DB00201,Caffeine
Premature Birth,MESH:D047928,DB00201,Caffeine
Bronchopulmonary Dysplasia,MESH:D001997,DB00201,Caffeine
Hypertension,MESH:D006973,DB00203,Sildenafil
Pulmonary Arterial Hypertension,MESH:D000081029,DB00203,Sildenafil
Erectile Dysfunction,MESH:D007172,DB00203,Sildenafil
Disease,MESH:D004194,DB00203,Sildenafil
Recurrence,MESH:D012008,DB00204,Dofetilide
Atrial Fibrillation,MESH:D001281,DB00204,Dofetilide
Malaria,MESH:D008288,DB00205,Pyrimethamine
Hypertension,MESH:D006973,DB00206,Reserpine
Otitis Media,MESH:D010033,DB00207,Azithromycin
Pneumonia,MESH:D011014,DB00207,Azithromycin
Sinusitis,MESH:D012852,DB00207,Azithromycin
Infections,MESH:D007239,DB00207,Azithromycin
Ulcer,MESH:D014456,DB00207,Azithromycin
Disease,MESH:D004194,DB00207,Azithromycin
Stroke,MESH:D020521,DB00208,Ticlopidine
Schizophrenia,MESH:D012559,DB00209,Trospium
Acne Vulgaris,MESH:D000152,DB00210,Adapalene
Hypotension,MESH:D007022,DB00211,Midodrine
Hypertension,MESH:D006973,DB00212,Remikiren
Heart Failure,MESH:D006333,DB00212,Remikiren
Gastroesophageal Reflux,MESH:D005764,DB00213,Pantoprazole
Disease,MESH:D004194,DB00213,Pantoprazole
Esophagitis,MESH:D004941,DB00213,Pantoprazole
Heartburn,MESH:D006356,DB00213,Pantoprazole
Edema,MESH:D004487,DB00214,Torasemide
Heart Failure,MESH:D006333,DB00214,Torasemide
Disease,MESH:D004194,DB00214,Torasemide
Depressive Disorder,MESH:D003866,DB00215,Citalopram
Panic Disorder,MESH:D016584,DB00215,Citalopram
Disease,MESH:D004194,DB00215,Citalopram
Hypertension,MESH:D006973,DB00217,Bethanidine
Pneumonia,MESH:D011014,DB00218,Moxifloxacin
Sinusitis,MESH:D012852,DB00218,Moxifloxacin
Infections,MESH:D007239,DB00218,Moxifloxacin
Spasm,MESH:D013035,DB00219,Oxyphenonium
Asthma,MESH:D001249,DB00221,Isoetharine
Hypertension,MESH:D006973,DB00226,Guanadrel
Diabetes Mellitus,MESH:D003920,DB00227,Lovastatin
Atherosclerosis,MESH:D050197,DB00227,Lovastatin
Hypercholesterolemia,MESH:D006937,DB00227,Lovastatin
Coronary Artery Disease,MESH:D003324,DB00227,Lovastatin
Stroke,MESH:D020521,DB00227,Lovastatin
Myocardial Infarction,MESH:D009203,DB00227,Lovastatin
Acute Coronary Syndrome,MESH:D054058,DB00227,Lovastatin
Aortic Aneurysm,MESH:D001014,DB00227,Lovastatin
Infarction,MESH:D007238,DB00227,Lovastatin
Disease,MESH:D004194,DB00227,Lovastatin
Sclerosis,MESH:D012598,DB00227,Lovastatin
Aneurysm,MESH:D000783,DB00227,Lovastatin
Infections,MESH:D007239,DB00229,Cefotiam
Seizures,MESH:D012640,DB00230,Pregabalin
Pain,MESH:D010146,DB00230,Pregabalin
Neuralgia,MESH:D009437,DB00230,Pregabalin
Edema,MESH:D004487,DB00232,Methyclothiazide
Hypertension,MESH:D006973,DB00232,Methyclothiazide
Heart Failure,MESH:D006333,DB00232,Methyclothiazide
Tuberculosis,MESH:D014376,DB00233,Aminosalicylic acid
Heart Failure,MESH:D006333,DB00235,Milrinone
Headache,MESH:D006261,DB00241,Butalbital
Neutropenia,MESH:D009503,DB00242,Cladribine
Anemia,MESH:D000740,DB00242,Cladribine
Multiple Sclerosis,MESH:D009103,DB00242,Cladribine
Thrombocytopenia,MESH:D013921,DB00242,Cladribine
Leukemia,MESH:D007938,DB00242,Cladribine
Disease,MESH:D004194,DB00242,Cladribine
Sclerosis,MESH:D012598,DB00242,Cladribine
Acute Coronary Syndrome,MESH:D054058,DB00243,Ranolazine
Tachycardia,MESH:D013610,DB00243,Ranolazine
Colitis,MESH:D003092,DB00244,Mesalazine
Ulcer,MESH:D014456,DB00244,Mesalazine
Tremor,MESH:D014202,DB00245,Benzatropine
Dystonia,MESH:D004421,DB00245,Benzatropine
Disease,MESH:D004194,DB00245,Benzatropine
Schizophrenia,MESH:D012559,DB00246,Ziprasidone
Headache,MESH:D006261,DB00247,Methysergide
Adenoma,MESH:D000236,DB00248,Cabergoline
Prolactinoma,MESH:D015175,DB00248,Cabergoline
Disease,MESH:D004194,DB00248,Cabergoline
Keratitis,MESH:D007634,DB00249,Idoxuridine
Herpes Simplex,MESH:D006561,DB00249,Idoxuridine
Dermatitis,MESH:D003872,DB00250,Dapsone
Leprosy,MESH:D007918,DB00250,Dapsone
Candidiasis,MESH:D002177,DB00251,Terconazole
Seizures,MESH:D012640,DB00252,Phenytoin
Status Epilepticus,MESH:D013226,DB00252,Phenytoin
Pneumonia,MESH:D011014,DB00254,Doxycycline
Malaria,MESH:D008288,DB00254,Doxycycline
Erythema,MESH:D004890,DB00254,Doxycycline
Fever,MESH:D005334,DB00254,Doxycycline
Infections,MESH:D007239,DB00254,Doxycycline
Q Fever,MESH:D011778,DB00254,Doxycycline
Plague,MESH:D010930,DB00254,Doxycycline
Respiratory Tract Infections,MESH:D012141,DB00254,Doxycycline
Disease,MESH:D004194,DB00254,Doxycycline
Brucellosis,MESH:D002006,DB00254,Doxycycline
Bacterial Infections,MESH:D001424,DB00254,Doxycycline
Infections,MESH:D007239,DB00256,Lymecycline
Respiratory Tract Infections,MESH:D012141,DB00256,Lymecycline
Urinary Tract Infections,MESH:D014552,DB00256,Lymecycline
Candidiasis,MESH:D002177,DB00257,Clotrimazole
Leukemia,MESH:D007938,DB00257,Clotrimazole
Infections,MESH:D007239,DB00257,Clotrimazole
Disease,MESH:D004194,DB00258,Calcium acetate
Hyperphosphatemia,MESH:D054559,DB00258,Calcium acetate
Tuberculosis,MESH:D014376,DB00260,Cycloserine
Neoplasms,MESH:D009369,DB00261,Anagrelide
Thrombosis,MESH:D013927,DB00261,Anagrelide
Multiple Myeloma,MESH:D009101,DB00262,Carmustine
