pathway_id,ko_id,kegg_gene,uniprot_id
map05111,K10943,vch:VC_2135,Q9KQ67
map05111,K10961,vch:VC_0825,P0C6D8
map05111,K10962,vch:VC_0830,P29490
map05111,K10963,vch:VC_0832,P0C6D5
map05111,K10964,vch:VC_0834,P29484
map05111,K10965,vch:VC_0835,P29480
map05111,K12276,vch:VC_0405,Q9KUV7
map05111,K13246,vch:VC_1652,H9L4Q6
map05111,K16554,vch:VC_0937,Q9KTG5
map05111,K20918,vch:VC_A0952,Q9KKZ8
map05111,K20919,vch:VC_0665,Q9KU59
map05111,K20920,vch:VC_0935,Q9KTG7
map05111,K20921,vch:VC_0920,Q9KTI2
map05111,K20922,vch:VC_0925,Q9KTH7
map05111,K20945,vch:VC_0916,Q9KTI6
map05111,K20946,vch:VC_0921,Q9KTI1
map05111,K20947,vch:VC_0922,Q9KTI0
map05111,K20948,vch:VC_0926,Q9KTH6
map05111,K20949,vch:VC_0938,Q9KTG4
map05111,K20950,vch:VC_0939,Q9KTG3
map05111,K20951,vch:VC_1888,Q9KQW0
map05111,K20952,vch:VC_0930,Q9KTH2
map05111,K20953,vch:VC_0928,Q9KTH4
map05111,K20954,vch:VC_1593,Q9KRP3
map05111,K20955,vch:VC_1104,Q9KT01
map05111,K20956,vch:VC_A0074,Q9KN91
map05111,K20957,vch:VC_1067,Q9KT38
map05111,K20958,vch:VC_2285,Q9KPS7
map05111,K20959,vch:VC_1376,Q9KS83
map05111,K20960,vch:VC_A0939,Q9KL11
map05111,K20961,vch:VC_2454,Q9KPB9
map05111,K20962,vch:VC_A0785,Q9KLF9
map05111,K20963,vch:VC_1592,Q9KRP4
map05111,K20964,vch:VC_0130,Q9KVL2
map05111,K20965,vch:VC_0653,Q9KU70
map05111,K20966,vch:VC_0703,Q9KU26
map05111,K20988,vch:VC_0936,Q9KTG6
map05111,K25886,vch:VC_0927,Q9KTH5
map00561,K00128,vch:VC_0819,P0C6D7
map00561,K00631,vch:VC_0093,Q9KVP8
map00561,K00655,vch:VC_2513,Q9KP63
map00561,K00864,vch:VC_A0744,Q9KLJ9
map00561,K00865,vch:VC_A0903,Q9KL45
map00561,K00901,vch:VC_A0714,Q9KLM9
map00561,K01046,vch:VC_A0221,P15493
map00561,K03621,vch:VC_2024,Q9KQH4
map00561,K08591,vch:VC_0523,Q9KUJ7
map01100,K00009,vch:VC_A1046,Q9KKQ6
map01100,K00012,vch:VC_A0780,Q9KLG4
map01100,K00013,vch:VC_1133,Q9F854
map01100,K00014,vch:VC_0056,Q9KVT3
map01100,K00018,vch:VC_2504,Q9KP72
map01100,K00021,vch:VC_A0723,Q9KLM0
map01100,K00023,vch:VC_A0691,Q9KLQ1
map01100,K00024,vch:VC_0432,Q9KUT3
map01100,K00029,vch:VC_2681,Q9KNQ0
map01100,K00031,vch:VC_1141,Q9KSW5
map01100,K00033,vch:VC_A0898,Q9KL50
map01100,K00036,vch:VC_A0896,Q9KL52
map01100,K00052,vch:VC_2491,Q9KP82
map01100,K00053,vch:VC_0162,Q9KVI4
map01100,K00057,vch:VC_2651,Q9KNT0
map01100,K00058,vch:VC_2481,Q9KP92
map01100,K00058,vch:VC_A0630,Q9KLW1
map01100,K00059,vch:VC_2021,Q9KQH7
map01100,K00060,vch:VC_A0885,Q9KL62
map01100,K00075,vch:VC_0318,Q9KV40
map01100,K00077,vch:VC_2307,Q9KPQ9
map01100,K00088,vch:VC_0767,Q9KTW3
map01100,K00097,vch:VC_0444,Q9KUS1
map01100,K00099,vch:VC_2254,Q9KPV8
map01100,K00101,vch:VC_A0984,Q9KKW6
map01100,K00111,vch:VC_A0657,Q9KLT4
map01100,K00111,vch:VC_A0747,Q9KLJ7
map01100,K00112,vch:VC_A0748,Q9KLJ6
map01100,K00113,vch:VC_A0749,Q9KLJ5
map01100,K00124,vch:VC_1512,Q9KRX1
map01100,K00127,vch:VC_1511,Q9KRX2
map01100,K00128,vch:VC_0819,P0C6D7
map01100,K00133,vch:VC_2036,Q9KQG2
map01100,K00133,vch:VC_2107,P23247
map01100,K00134,vch:VC_2000,Q9KQJ8
map01100,K00134,vch:VC_A0843,Q9KLA3
map01100,K00135,vch:VC_1745,Q9KR97
map01100,K00138,vch:VC_1819,Q9KR28
map01100,K00145,vch:VC_2644,Q9KNT6
map01100,K00147,vch:VC_2273,Q9KPT9
map01100,K00163,vch:VC_2414,Q9KPF4
map01100,K00164,vch:VC_2087,Q9KQB3
map01100,K00209,vch:VC_1738,Q9KRA3
map01100,K00209,vch:VC_A0784,Q9KLG0
map01100,K00215,vch:VC_2391,Q9KPH7
map01100,K00228,vch:VC_0055,Q9KVT4
map01100,K00230,vch:VC_2755,Q9KNI4
map01100,K00239,vch:VC_2089,Q9KQB1
map01100,K00240,vch:VC_2088,Q9KQB2
map01100,K00241,vch:VC_2091,Q9KQA9
map01100,K00242,vch:VC_2090,Q9KQB0
map01100,K00244,vch:VC_2656,Q9KNS5
map01100,K00245,vch:VC_2657,Q9KNS4
map01100,K00246,vch:VC_2658,Q9KNS3
map01100,K00247,vch:VC_2659,Q9KNS2
map01100,K00254,vch:VC_1491,Q9KRZ2
map01100,K00259,vch:VC_1905,Q9KQU3
map01100,K00265,vch:VC_2373,Q9KPJ4
map01100,K00265,vch:VC_2376,Q9KPJ1
map01100,K00266,vch:VC_2374,Q9KPJ3
map01100,K00266,vch:VC_2377,Q9KPJ0
map01100,K00275,vch:VC_A1079,Q9KKM4
map01100,K00278,vch:VC_2469,Q9KPA4
map01100,K00285,vch:VC_0786,Q9KTV1
map01100,K00286,vch:VC_0460,Q9KUQ5
map01100,K00287,vch:VC_0440,Q9KUS5
map01100,K00297,vch:VC_2685,Q9KNP6
map01100,K00322,vch:VC_0151,P50529
map01100,K00324,vch:VC_A0563,Q9KM26
map01100,K00325,vch:VC_A0564,Q9KM25
map01100,K00364,vch:VC_A0197,Q9KMW9
map01100,K00380,vch:VC_0384,Q9KUX4
map01100,K00381,vch:VC_0385,Q9KUX3
map01100,K00382,vch:VC_2412,Q9KPF6
map01100,K00382,vch:VC_2638,Q9KNU2
map01100,K00383,vch:VC_0186,Q9KVG0
map01100,K00390,vch:VC_0386,Q9KUX2
map01100,K00404,vch:VC_1442,Q9KS19
map01100,K00405,vch:VC_1441,Q9KS20
map01100,K00406,vch:VC_1439,Q9KS22
map01100,K00407,vch:VC_1440,Q9KS21
map01100,K00411,vch:VC_0573,Q9KUE8
map01100,K00412,vch:VC_0574,Q9KUE7
map01100,K00413,vch:VC_0575,Q9KUE6
map01100,K00424,vch:VC_1842,Q9KR05
map01100,K00425,vch:VC_1571,Q9KRR5
map01100,K00425,vch:VC_1844,Q9KR03
map01100,K00425,vch:VC_A0872,Q9KL75
map01100,K00426,vch:VC_1570,Q9KRR6
map01100,K00426,vch:VC_1843,Q9KR04
map01100,K00426,vch:VC_A0873,Q9KL74
map01100,K00451,vch:VC_1345,Q9KSB4
map01100,K00457,vch:VC_1344,H9L4S8
map01100,K00500,vch:VC_A0828,Q9KLB8
map01100,K00525,vch:VC_1256,Q9KSK0
map01100,K00526,vch:VC_1255,Q9KSK1
map01100,K00548,vch:VC_0390,Q9KUW9
map01100,K00549,vch:VC_1704,Q9KRD8
map01100,K00558,vch:VC_A0198,Q9KMW8
map01100,K00560,vch:VC_0675,O66108
map01100,K00568,vch:VC_1257,Q9KSJ9
map01100,K00600,vch:VC_0941,Q9KTG1
map01100,K00600,vch:VC_A0278,Q9KMP4
map01100,K00602,vch:VC_0276,Q9KV80
map01100,K00604,vch:VC_0045,Q9KVU4
map01100,K00606,vch:VC_0592,Q9KUD0
map01100,K00609,vch:VC_2510,Q9KP66
map01100,K00610,vch:VC_2511,Q9KP65
map01100,K00611,vch:VC_2508,Q9KP68
map01100,K00615,vch:VC_0473,Q9KUP2
map01100,K00615,vch:VC_A0624,Q9KLW7
map01100,K00616,vch:VC_A0623,Q9KLW8
map01100,K00626,vch:VC_A0690,Q9KLQ2
map01100,K00627,vch:VC_2413,Q9KPF5
map01100,K00631,vch:VC_0093,Q9KVP8
map01100,K00632,vch:VC_1046,Q9KT59
map01100,K00632,vch:VC_2759,Q9KNI0
map01100,K00639,vch:VC_A0886,Q9KL61
map01100,K00640,vch:VC_0919,Q9KTI3
map01100,K00640,vch:VC_0923,Q9KTH9
map01100,K00640,vch:VC_2649,Q9KNT2
map01100,K00645,vch:VC_2022,Q9KQH6
map01100,K00648,vch:VC_2023,Q9KQH5
map01100,K00648,vch:VC_A0751,Q9KLJ3
map01100,K00651,vch:VC_1611,Q9KRM5
map01100,K00652,vch:VC_1113,Q9KSZ3
map01100,K00655,vch:VC_2513,Q9KP63
map01100,K00656,vch:VC_1866,Q9KQY1
map01100,K00657,vch:VC_A0947,Q9KL03
map01100,K00658,vch:VC_2086,Q9KQB4
map01100,K00673,vch:VC_2617,Q9KNW3
map01100,K00674,vch:VC_2329,Q9KPN7
map01100,K00677,vch:VC_2248,Q9KPW4
map01100,K00681,vch:VC_0194,Q9KVF2
map01100,K00688,vch:VC_A0013,Q9KNF1
map01100,K00700,vch:VC_A0016,Q9KNE8
map01100,K00703,vch:VC_1726,Q9KRB6
map01100,K00705,vch:VC_A0014,Q9KNF0
map01100,K00748,vch:VC_2247,Q9KPW5
map01100,K00757,vch:VC_1034,Q9KT71
map01100,K00757,vch:VC_A0134,Q9KN32
map01100,K00758,vch:VC_2349,Q9KPL8
map01100,K00759,vch:VC_1053,Q9KT52
map01100,K00760,vch:VC_0585,Q9KUD7
map01100,K00761,vch:VC_2225,Q9KPY7
map01100,K00762,vch:VC_0211,Q9KVD5
map01100,K00763,vch:VC_A0098,Q9KN67
map01100,K00764,vch:VC_1004,Q9KT99
map01100,K00765,vch:VC_1132,Q9KSX4
map01100,K00766,vch:VC_1172,Q9KST4
map01100,K00767,vch:VC_2422,Q9KPE6
map01100,K00768,vch:VC_1237,Q9KSL9
map01100,K00769,vch:VC_2277,Q9KPT5
map01100,K00788,vch:VC_0062,Q9KVS7
map01100,K00789,vch:VC_0472,Q9KUP3
map01100,K00790,vch:VC_2514,Q9KP62
map01100,K00791,vch:VC_0346,Q9KV12
map01100,K00793,vch:VC_2270,Q9KPU2
map01100,K00794,vch:VC_2268,Q9KPU4
map01100,K00795,vch:VC_0890,Q9KTL2
map01100,K00796,vch:VC_0638,Q9KU85
map01100,K00800,vch:VC_1732,Q9KRB0
map01100,K00813,vch:VC_A0513,Q9KM75
map01100,K00817,vch:VC_1134,Q9KSX2
map01100,K00820,vch:VC_0487,Q9KUM8
map01100,K00821,vch:VC_2618,Q9KNW2
map01100,K00826,vch:VC_0029,Q9KVV9
map01100,K00830,vch:VC_0392,Q9KUW7
map01100,K00831,vch:VC_1159,Q9KSU7
map01100,K00832,vch:VC_1293,Q9KSG3
map01100,K00833,vch:VC_1111,Q9KSZ5
map01100,K00835,vch:VC_0019,Q9KVW9
map01100,K00836,vch:VC_A0824,Q9KLC2
map01100,K00847,vch:VC_0270,Q9KV86
map01100,K00847,vch:VC_A0656,Q9KLT5
map01100,K00849,vch:VC_1595,Q9KRP1
map01100,K00850,vch:VC_2689,Q9KNP2
map01100,K00851,vch:VC_0287,Q9KV70
map01100,K00852,vch:VC_A0131,Q9KN34
map01100,K00857,vch:VC_1167,Q9KST9
map01100,K00858,vch:VC_0853,Q9KTP8
map01100,K00859,vch:VC_2427,Q9KPE3
map01100,K00860,vch:VC_2558,Q9KP21
map01100,K00864,vch:VC_A0744,Q9KLJ9
map01100,K00865,vch:VC_A0903,Q9KL45
map01100,K00867,vch:VC_0320,Q9KV38
map01100,K00872,vch:VC_2363,Q9KPK4
map01100,K00873,vch:VC_0485,Q9KUN0
map01100,K00873,vch:VC_2008,Q9KQJ0
map01100,K00873,vch:VC_A0708,Q9KLN5
map01100,K00876,vch:VC_1038,Q9KT67
map01100,K00882,vch:VC_A0517,Q9KM71
map01100,K00885,vch:VC_1782,Q9KR61
map01100,K00891,vch:VC_2629,Q9KNV1
map01100,K00892,vch:VC_1129,Q9KSX7
map01100,K00892,vch:VC_A0801,Q9KLE5
map01100,K00901,vch:VC_A0714,Q9KLM9
map01100,K00912,vch:VC_1877,Q9KQX0
map01100,K00919,vch:VC_2182,Q9KQ23
map01100,K00925,vch:VC_1098,Q9KT07
map01100,K00925,vch:VC_A0235,Q9KMT5
map01100,K00927,vch:VC_0477,P0C6Q3
map01100,K00928,vch:VC_0391,Q9KUW8
map01100,K00928,vch:VC_0547,Q9KUH4
map01100,K00928,vch:VC_A0822,Q9KLC4
map01100,K00930,vch:VC_2643,Q9KNT7
map01100,K00931,vch:VC_2274,Q9KPT8
map01100,K00939,vch:VC_0986,Q9KTB7
map01100,K00940,vch:VC_0756,Q9KTX4
map01100,K00941,vch:VC_1296,Q9KSG0
map01100,K00942,vch:VC_2708,Q9KNM4
map01100,K00943,vch:VC_2016,Q9KQI2
map01100,K00945,vch:VC_1916,Q9KQT2
map01100,K00946,vch:VC_2266,Q9KPU6
map01100,K00948,vch:VC_2183,Q9KQ22
map01100,K00950,vch:VC_0525,Q9KUJ5
map01100,K00950,vch:VC_0593,Q9KUC9
map01100,K00951,vch:VC_2451,H9L4Q9
map01100,K00954,vch:VC_0222,Q9KVC4
map01100,K00956,vch:VC_2559,Q9KP20
map01100,K00957,vch:VC_2560,Q9KP19
map01100,K00963,vch:VC_0395,Q9KUW4
map01100,K00965,vch:VC_1596,Q9KRP0
map01100,K00969,vch:VC_A0208,Q9KMW0
map01100,K00975,vch:VC_1727,Q9KRB5
map01100,K00975,vch:VC_A0699,Q9KLP4
map01100,K00979,vch:VC_1875,Q9KQX2
map01100,K00981,vch:VC_1936,Q9KQR2
map01100,K00981,vch:VC_2255,Q9KPV7
map01100,K00991,vch:VC_0528,Q9KUJ2
map01100,K00995,vch:VC_1215,Q9KSP1
map01100,K00997,vch:VC_2457,Q9KPB6
map01100,K00998,vch:VC_0315,Q9KV43
map01100,K01000,vch:VC_2404,Q9KPG4
map01100,K01007,vch:VC_A0987,Q9KKW3
map01100,K01011,vch:VC_A0620,Q9KLX1
map01100,K01012,vch:VC_1112,Q9KSZ4
map01100,K01046,vch:VC_A0221,P15493
map01100,K01057,vch:VC_A0897,Q9KL51
map01100,K01069,vch:VC_1270,Q9KSI6
map01100,K01069,vch:VC_2236,Q9KPX6
map01100,K01079,vch:VC_2345,Q9KPM2
map01100,K01081,vch:VC_A0545,Q9KM44
map01100,K01082,vch:VC_2722,Q9KNL0
map01100,K01089,vch:VC_1135,Q9KSX1
map01100,K01091,vch:VC_2624,Q9KNV6
map01100,K01092,vch:VC_0745,Q9KTY5
map01100,K01095,vch:VC_2265,Q9KPU7
map01100,K01096,vch:VC_A0035,Q9KND0
map01100,K01119,vch:VC_2416,Q9KPF2
map01100,K01119,vch:VC_2562,Q9KP17
map01100,K01129,vch:VC_1979,Q9KQL9
map01100,K01139,vch:VC_2710,Q9KNM2
map01100,K01176,vch:VC_A0250,Q9KMS0
map01100,K01176,vch:VC_A0860,Q9KL86
map01100,K01183,vch:VC_1952,Q9KQP6
map01100,K01183,vch:VC_A0027,Q9KND8
map01100,K01193,vch:VC_A0655,Q9KLT6
map01100,K01207,vch:VC_0692,Q9KU37
map01100,K01214,vch:VC_A1029,Q9KKS1
map01100,K01226,vch:VC_0911,Q9KTJ1
map01100,K01243,vch:VC_2379,Q9KPI8
map01100,K01255,vch:VC_2501,P0C6E1
map01100,K01256,vch:VC_1494,Q9KRY9
map01100,K01270,vch:VC_2279,Q9KPT3
map01100,K01424,vch:VC_1995,Q9KQK3
map01100,K01425,vch:VC_0454,Q9KUR1
map01100,K01433,vch:VC_1992,Q9KQK6
map01100,K01438,vch:VC_2645,Q9KNT5
map01100,K01439,vch:VC_2152,Q9KQ52
map01100,K01443,vch:VC_0994,O32445
map01100,K01443,vch:VC_1783,Q9KR60
map01100,K01465,vch:VC_A0925,Q9KL24
map01100,K01468,vch:VC_1205,Q9KSQ1
map01100,K01478,vch:VC_0423,Q9KUU2
map01100,K01479,vch:VC_1204,Q9KSQ2
map01100,K01480,vch:VC_A0814,Q9KLD2
map01100,K01488,vch:VC_2751,Q9KNI7
map01100,K01489,vch:VC_1231,Q9KSM5
map01100,K01491,vch:VC_1942,Q9KQQ6
map01100,K01493,vch:VC_A0840,Q9KLA6
map01100,K01495,vch:VC_A0616,Q9KLX5
map01100,K01497,vch:VC_1263,Q9KSJ3
map01100,K01512,vch:VC_1355,Q9KSA4
map01100,K01515,vch:VC_2435,Q9KPD5
map01100,K01515,vch:VC_A0764,Q9KLI0
map01100,K01519,vch:VC_0456,Q9KUQ9
map01100,K01524,vch:VC_0304,Q9KV53
map01100,K01524,vch:VC_0722,Q9KU08
map01100,K01525,vch:VC_0441,Q9KUS4
map01100,K01529,vch:VC_0702,Q9KU27
map01100,K01571,vch:VC_0550,Q9KUH1
map01100,K01573,vch:VC_0549,Q9KUH2
map01100,K01573,vch:VC_0794,Q9KTU4
map01100,K01581,vch:VC_A1063,Q9KKN9
map01100,K01582,vch:VC_0281,Q9KV75
map01100,K01585,vch:VC_A0815,Q9KLD1
map01100,K01586,vch:VC_0125,Q9KVL7
map01100,K01588,vch:VC_0052,Q9KVT7
map01100,K01589,vch:VC_0051,Q9KVT8
map01100,K01591,vch:VC_1911,Q9KQT7
map01100,K01595,vch:VC_2646,Q9KNT4
map01100,K01599,vch:VC_0332,Q9KV26
map01100,K01610,vch:VC_2738,Q9KNK0
map01100,K01613,vch:VC_0339,Q9KV19
map01100,K01619,vch:VC_2350,Q9KPL7
map01100,K01620,vch:VC_A0765,Q9KLH9
map01100,K01624,vch:VC_0478,Q9KUN7
map01100,K01625,vch:VC_0285,Q9KV72
map01100,K01626,vch:VC_0695,Q9KU34
map01100,K01626,vch:VC_1507,Q9KRX6
map01100,K01627,vch:VC_2175,Q9KQ29
map01100,K01633,vch:VC_0524,Q9KUJ6
map01100,K01637,vch:VC_0736,Q9KTZ4
map01100,K01638,vch:VC_0734,Q9KTZ6
map01100,K01639,vch:VC_1776,Q9KR67
map01100,K01647,vch:VC_2092,Q9KQA8
map01100,K01649,vch:VC_2490,Q9KP83
map01100,K01652,vch:VC_0031,Q9KVV7
map01100,K01652,vch:VC_1590,Q9KRP6
map01100,K01652,vch:VC_2483,Q9KP90
map01100,K01653,vch:VC_2482,Q9KP91
map01100,K01657,vch:VC_1174,Q9KST2
map01100,K01658,vch:VC_1173,Q9KST3
map01100,K01659,vch:VC_1337,Q9KSC1
map01100,K01661,vch:VC_1973,Q9KQM5
map01100,K01662,vch:VC_0889,Q9KTL3
map01100,K01667,vch:VC_A0161,Q9KN05
map01100,K01673,vch:VC_0586,Q9KUD6
map01100,K01674,vch:VC_A0274,Q9KMP6
map01100,K01676,vch:VC_1304,Q9KSF2
map01100,K01679,vch:VC_1573,Q9KRR3
map01100,K01682,vch:VC_0604,Q9KUB8
map01100,K01687,vch:VC_0028,Q9KVW0
map01100,K01689,vch:VC_2447,Q9KPC5
map01100,K01690,vch:VC_0288,Q9KV69
map01100,K01695,vch:VC_1169,Q9KST7
map01100,K01696,vch:VC_1170,Q9KST6
map01100,K01698,vch:VC_0105,Q9KVN6
map01100,K01703,vch:VC_2492,Q9KP81
map01100,K01704,vch:VC_2493,Q9KP80
map01100,K01711,vch:VC_0243,Q06952
map01100,K01712,vch:VC_1203,Q9KSQ3
map01100,K01714,vch:VC_2157,Q9KQ47
map01100,K01716,vch:VC_1483,Q9KS00
map01100,K01719,vch:VC_0119,Q9KVM2
map01100,K01724,vch:VC_A0827,Q9KLB9
map01100,K01733,vch:VC_2362,Q9KPK5
map01100,K01734,vch:VC_A0711,Q9KLN2
map01100,K01735,vch:VC_2628,Q9KNV2
map01100,K01736,vch:VC_2116,Q9KQ85
map01100,K01737,vch:VC_1299,Q9KSF7
map01100,K01738,vch:VC_0968,Q9KTD4
map01100,K01738,vch:VC_1061,Q9KT44
map01100,K01739,vch:VC_2683,Q9KNP8
map01100,K01744,vch:VC_2698,Q9KNN3
map01100,K01745,vch:VC_1202,Q9KSQ4
map01100,K01749,vch:VC_0120,Q9KVM1
map01100,K01752,vch:VC_1300,Q9KSF6
map01100,K01752,vch:VC_A0666,Q9KLS5
map01100,K01753,vch:VC_A0875,Q9KL72
map01100,K01754,vch:VC_0027,Q9KVW1
map01100,K01755,vch:VC_2641,Q9KNT9
map01100,K01756,vch:VC_1126,Q9KSY0
map01100,K01759,vch:VC_1010,Q9KT93
map01100,K01760,vch:VC_1671,Q9KRH1
map01100,K01770,vch:VC_0529,Q9KUJ1
map01100,K01772,vch:VC_0987,Q9KTB6
map01100,K01775,vch:VC_0372,Q9KUY6
map01100,K01776,vch:VC_0158,Q9KVI7
map01100,K01778,vch:VC_0126,Q9KVL6
map01100,K01782,vch:VC_1047,Q9KT58
map01100,K01783,vch:VC_2625,Q9KNV5
map01100,K01784,vch:VC_A0774,Q9KLH0
map01100,K01785,vch:VC_1594,Q9KRP2
map01100,K01788,vch:VC_1781,Q9KR62
map01100,K01791,vch:VC_0917,Q9KTI5
map01100,K01792,vch:VC_2001,Q9KQJ7
map01100,K01800,vch:VC_1347,Q9KSB2
map01100,K01803,vch:VC_2670,Q9KNR1
map01100,K01807,vch:VC_2480,Q9KP93
map01100,K01809,vch:VC_0269,Q9KV87
map01100,K01809,vch:VC_1827,Q9KR20
map01100,K01810,vch:VC_0374,Q9KUY4
map01100,K01814,vch:VC_1137,Q9KSW9
map01100,K01825,vch:VC_2758,Q9KNI1
map01100,K01826,vch:VC_2669,Q9KNR2
map01100,K01835,vch:VC_2095,Q9KQA5
map01100,K01839,vch:VC_2348,Q9KPL9
map01100,K01840,vch:VC_0242,Q06951
map01100,K01840,vch:VC_A1041,Q9KKR1
map01100,K01845,vch:VC_0626,Q9KU97
map01100,K01874,vch:VC_1036,Q9KT69
map01100,K01885,vch:VC_2214,P0C6Q1
map01100,K01886,vch:VC_0997,Q9KTA6
map01100,K01895,vch:VC_0298,Q9KV59
map01100,K01897,vch:VC_1985,Q9KQL3
map01100,K01897,vch:VC_2341,Q9KPM6
map01100,K01897,vch:VC_2484,Q9KP89
map01100,K01902,vch:VC_2084,Q9KQB6
map01100,K01903,vch:VC_2085,Q9KQB5
map01100,K01907,vch:VC_A0829,Q9KLB7
map01100,K01908,vch:VC_1340,Q9KSB8
map01100,K01911,vch:VC_1971,Q9KQM7
map01100,K01915,vch:VC_2746,Q9KNJ2
map01100,K01916,vch:VC_A0207,Q9KMW1
map01100,K01918,vch:VC_0591,Q9KUD1
map01100,K01919,vch:VC_0556,Q9KUG5
map01100,K01920,vch:VC_0468,Q9KUP7
map01100,K01921,vch:VC_A0572,Q9KM17
map01100,K01923,vch:VC_1190,Q9KSR6
map01100,K01924,vch:VC_2400,Q9KPG8
map01100,K01925,vch:VC_2403,Q9KPG5
map01100,K01928,vch:VC_2406,Q9X6N4
map01100,K01929,vch:VC_2405,Q9KPG3
map01100,K01933,vch:VC_2226,Q9KPY6
map01100,K01934,vch:VC_2479,Q9KP94
map01100,K01935,vch:VC_1115,Q9KSZ1
map01100,K01937,vch:VC_2448,Q9KPC4
map01100,K01938,vch:VC_A0614,Q9KLX7
map01100,K01939,vch:VC_2602,Q9KNX8
map01100,K01940,vch:VC_2642,Q9KNT8
map01100,K01945,vch:VC_0275,Q9KV81
map01100,K01951,vch:VC_0768,Q9KTW2
map01100,K01952,vch:VC_0869,Q9KTN2
map01100,K01953,vch:VC_0991,Q9KTB2
map01100,K01955,vch:VC_2389,Q9KPH9
map01100,K01956,vch:VC_2390,Q9KPH8
map01100,K01961,vch:VC_0295,Q9KV62
map01100,K01962,vch:VC_2244,Q9KPW8
map01100,K01963,vch:VC_1000,Q9KTA3
map01100,K02078,vch:VC_0248,Q9KVA1
map01100,K02078,vch:VC_2020,Q9KQH8
map01100,K02108,vch:VC_2770,Q9KNG9
map01100,K02109,vch:VC_2768,Q9KNH1
map01100,K02110,vch:VC_2769,Q9KNH0
map01100,K02111,vch:VC_2766,Q9KNH3
