Name,GeneName,UniProtID,Species,DrugIDs
Highaffinityimmunoglobulinepsilonreceptorsubunitalpha,FCER1A,P12319,Humans,DB00895
CoagulationfactorVIII,F8,P00451,Humans,DB00055
CoagulationfactorVIII,F8,P00451,Humans,DB00100
CoagulationfactorVIII,F8,P00451,Humans,DB11300
CoagulationfactorVIII,F8,P00451,Humans,DB11312
CoagulationfactorVIII,F8,P00451,Humans,DB11571
CoagulationfactorVIII,F8,P00451,Humans,DB11572
CoagulationfactorVIII,F8,P00451,Humans,DB12872
CoagulationfactorVIII,F8,P00451,Humans,DB13133
CoagulationfactorVIII,F8,P00451,Humans,DB13151
CoagulationfactorVIII,F8,P00451,Humans,DB13152
CoagulationfactorVIII,F8,P00451,Humans,DB13933
CoagulationfactorVIII,F8,P00451,Humans,DB14700
ProstaglandinG/Hsynthase1,PTGS1,P23219,Humans,DB00159
ProstaglandinG/Hsynthase1,PTGS1,P23219,Humans,DB00233
ProstaglandinG/Hsynthase1,PTGS1,P23219,Humans,DB00244
ProstaglandinG/Hsynthase1,PTGS1,P23219,Humans,DB00316
ProstaglandinG/Hsynthase1,PTGS1,P23219,Humans,DB00465
ProstaglandinG/Hsynthase1,PTGS1,P23219,Humans,DB00573
ProstaglandinG/Hsynthase1,PTGS1,P23219,Humans,DB00586
ProstaglandinG/Hsynthase1,PTGS1,P23219,Humans,DB00788
ProstaglandinG/Hsynthase1,PTGS1,P23219,Humans,DB00795
ProstaglandinG/Hsynthase1,PTGS1,P23219,Humans,DB00812
ProstaglandinG/Hsynthase1,PTGS1,P23219,Humans,DB00870
ProstaglandinG/Hsynthase1,PTGS1,P23219,Humans,DB00936
ProstaglandinG/Hsynthase1,PTGS1,P23219,Humans,DB00939
ProstaglandinG/Hsynthase1,PTGS1,P23219,Humans,DB00945
ProstaglandinG/Hsynthase1,PTGS1,P23219,Humans,DB00963
ProstaglandinG/Hsynthase1,PTGS1,P23219,Humans,DB00991
ProstaglandinG/Hsynthase1,PTGS1,P23219,Humans,DB01014
ProstaglandinG/Hsynthase1,PTGS1,P23219,Humans,DB01050
ProstaglandinG/Hsynthase1,PTGS1,P23219,Humans,DB01283
ProstaglandinG/Hsynthase1,PTGS1,P23219,Humans,DB01399
ProstaglandinG/Hsynthase1,PTGS1,P23219,Humans,DB01401
ProstaglandinG/Hsynthase1,PTGS1,P23219,Humans,DB01435
ProstaglandinG/Hsynthase1,PTGS1,P23219,Humans,DB01600
ProstaglandinG/Hsynthase1,PTGS1,P23219,Humans,DB02266
ProstaglandinG/Hsynthase1,PTGS1,P23219,Humans,DB03756
ProstaglandinG/Hsynthase1,PTGS1,P23219,Humans,DB04817
ProstaglandinG/Hsynthase1,PTGS1,P23219,Humans,DB06725
ProstaglandinG/Hsynthase1,PTGS1,P23219,Humans,DB06736
ProstaglandinG/Hsynthase1,PTGS1,P23219,Humans,DB06802
ProstaglandinG/Hsynthase1,PTGS1,P23219,Humans,DB08814
ProstaglandinG/Hsynthase1,PTGS1,P23219,Humans,DB08981
ProstaglandinG/Hsynthase1,PTGS1,P23219,Humans,DB09084
ProstaglandinG/Hsynthase1,PTGS1,P23219,Humans,DB09212
ProstaglandinG/Hsynthase1,PTGS1,P23219,Humans,DB09216
ProstaglandinG/Hsynthase1,PTGS1,P23219,Humans,DB11071
ProstaglandinG/Hsynthase1,PTGS1,P23219,Humans,DB11079
ProstaglandinG/Hsynthase1,PTGS1,P23219,Humans,DB11085
ProstaglandinG/Hsynthase1,PTGS1,P23219,Humans,DB11201
ProstaglandinG/Hsynthase1,PTGS1,P23219,Humans,DB11323
ProstaglandinG/Hsynthase1,PTGS1,P23219,Humans,DB11672
ProstaglandinG/Hsynthase1,PTGS1,P23219,Humans,DB13346
ProstaglandinG/Hsynthase1,PTGS1,P23219,Humans,DB13783
ProstaglandinG/Hsynthase1,PTGS1,P23219,Humans,DB14086
D(1A)dopaminereceptor,DRD1,P21728,Humans,DB00353
D(1A)dopaminereceptor,DRD1,P21728,Humans,DB00477
D(1A)dopaminereceptor,DRD1,P21728,Humans,DB00508
D(1A)dopaminereceptor,DRD1,P21728,Humans,DB00623
D(1A)dopaminereceptor,DRD1,P21728,Humans,DB00679
D(1A)dopaminereceptor,DRD1,P21728,Humans,DB00800
D(1A)dopaminereceptor,DRD1,P21728,Humans,DB00850
D(1A)dopaminereceptor,DRD1,P21728,Humans,DB00875
D(1A)dopaminereceptor,DRD1,P21728,Humans,DB00988
D(1A)dopaminereceptor,DRD1,P21728,Humans,DB01186
D(1A)dopaminereceptor,DRD1,P21728,Humans,DB01235
D(1A)dopaminereceptor,DRD1,P21728,Humans,DB01239
D(1A)dopaminereceptor,DRD1,P21728,Humans,DB01608
D(1A)dopaminereceptor,DRD1,P21728,Humans,DB01621
D(1A)dopaminereceptor,DRD1,P21728,Humans,DB01623
D(1A)dopaminereceptor,DRD1,P21728,Humans,DB01624
D(1A)dopaminereceptor,DRD1,P21728,Humans,DB11160
Vascularendothelialgrowthfactorreceptor3,FLT4,P35916,Humans,DB00398
Vascularendothelialgrowthfactorreceptor3,FLT4,P35916,Humans,DB01268
Vascularendothelialgrowthfactorreceptor3,FLT4,P35916,Humans,DB06589
Vascularendothelialgrowthfactorreceptor3,FLT4,P35916,Humans,DB06626
Vascularendothelialgrowthfactorreceptor3,FLT4,P35916,Humans,DB08896
Vascularendothelialgrowthfactorreceptor3,FLT4,P35916,Humans,DB09078
Vascularendothelialgrowthfactorreceptor3,FLT4,P35916,Humans,DB09079
Vascularendothelialgrowthfactorreceptor3,FLT4,P35916,Humans,DB11679
Vascularendothelialgrowthfactorreceptor3,FLT4,P35916,Humans,DB11800
Amiloride-sensitivesodiumchannelsubunitbeta,SCNN1B,P51168,Humans,DB00384
Amiloride-sensitivesodiumchannelsubunitbeta,SCNN1B,P51168,Humans,DB00594
Collagenalpha-1(I)chain,COL1A1,P02452,Humans,DB00048
Collagenalpha-1(I)chain,COL1A1,P02452,Humans,DB12872
Collagenalpha-1(I)chain,COL1A1,P02452,Humans,DB13133
Tubulinbeta-1chain,TUBB1,Q9H4B7,Humans,DB00309
Tubulinbeta-1chain,TUBB1,Q9H4B7,Humans,DB01229
Tubulinbeta-1chain,TUBB1,Q9H4B7,Humans,DB01248
Tubulinbeta-1chain,TUBB1,Q9H4B7,Humans,DB06772
Tubulinbeta-1chain,TUBB1,Q9H4B7,Humans,DB08871
"NADHdehydrogenase[ubiquinone]flavoprotein3,mitochondrial",NDUFV3,P56181,Humans,DB09270
Vascularendothelialgrowthfactorreceptor1,FLT1,P17948,Humans,DB00398
Vascularendothelialgrowthfactorreceptor1,FLT1,P17948,Humans,DB01268
Vascularendothelialgrowthfactorreceptor1,FLT1,P17948,Humans,DB06589
Vascularendothelialgrowthfactorreceptor1,FLT1,P17948,Humans,DB06626
Vascularendothelialgrowthfactorreceptor1,FLT1,P17948,Humans,DB08896
Vascularendothelialgrowthfactorreceptor1,FLT1,P17948,Humans,DB09078
Vascularendothelialgrowthfactorreceptor1,FLT1,P17948,Humans,DB09079
Vascularendothelialgrowthfactorreceptor1,FLT1,P17948,Humans,DB10770
Vascularendothelialgrowthfactorreceptor1,FLT1,P17948,Humans,DB11679
Vascularendothelialgrowthfactorreceptor1,FLT1,P17948,Humans,DB11800
Cystine/glutamatetransporter,SLC7A11,Q9UPY5,Humans,DB00740
Cystine/glutamatetransporter,SLC7A11,Q9UPY5,Humans,DB06151
Insulinreceptor,INSR,P06213,Humans,DB00030
Insulinreceptor,INSR,P06213,Humans,DB00046
Insulinreceptor,INSR,P06213,Humans,DB00047
Insulinreceptor,INSR,P06213,Humans,DB00071
Insulinreceptor,INSR,P06213,Humans,DB01306
Insulinreceptor,INSR,P06213,Humans,DB01307
Insulinreceptor,INSR,P06213,Humans,DB01309
Insulinreceptor,INSR,P06213,Humans,DB09129
Insulinreceptor,INSR,P06213,Humans,DB09456
Insulinreceptor,INSR,P06213,Humans,DB09564
Insulinreceptor,INSR,P06213,Humans,DB16693
RAFproto-oncogeneserine/threonine-proteinkinase,RAF1,P04049,Humans,DB00398
RAFproto-oncogeneserine/threonine-proteinkinase,RAF1,P04049,Humans,DB08896
RAFproto-oncogeneserine/threonine-proteinkinase,RAF1,P04049,Humans,DB08912
RAFproto-oncogeneserine/threonine-proteinkinase,RAF1,P04049,Humans,DB11718
RAFproto-oncogeneserine/threonine-proteinkinase,RAF1,P04049,Humans,DB15266
CoagulationfactorV,F5,P12259,Humans,DB00055
CoagulationfactorV,F5,P12259,Humans,DB11300
CoagulationfactorV,F5,P12259,Humans,DB11312
CoagulationfactorV,F5,P12259,Humans,DB11571
CoagulationfactorV,F5,P12259,Humans,DB11572
CoagulationfactorV,F5,P12259,Humans,DB13149
CoagulationfactorV,F5,P12259,Humans,DB13151
Pyridoxalkinase,PDXK,O00764,Humans,DB00165
EndothelinreceptortypeB,EDNRB,P24530,Humans,DB00559
EndothelinreceptortypeB,EDNRB,P24530,Humans,DB15059
MuscarinicacetylcholinereceptorM3,CHRM3,P20309,Humans,DB00185
MuscarinicacetylcholinereceptorM3,CHRM3,P20309,Humans,DB00332
MuscarinicacetylcholinereceptorM3,CHRM3,P20309,Humans,DB00383
MuscarinicacetylcholinereceptorM3,CHRM3,P20309,Humans,DB00387
MuscarinicacetylcholinereceptorM3,CHRM3,P20309,Humans,DB00496
MuscarinicacetylcholinereceptorM3,CHRM3,P20309,Humans,DB00517
MuscarinicacetylcholinereceptorM3,CHRM3,P20309,Humans,DB00572
MuscarinicacetylcholinereceptorM3,CHRM3,P20309,Humans,DB00725
MuscarinicacetylcholinereceptorM3,CHRM3,P20309,Humans,DB00747
MuscarinicacetylcholinereceptorM3,CHRM3,P20309,Humans,DB00986
MuscarinicacetylcholinereceptorM3,CHRM3,P20309,Humans,DB01019
MuscarinicacetylcholinereceptorM3,CHRM3,P20309,Humans,DB01036
MuscarinicacetylcholinereceptorM3,CHRM3,P20309,Humans,DB01062
MuscarinicacetylcholinereceptorM3,CHRM3,P20309,Humans,DB01085
MuscarinicacetylcholinereceptorM3,CHRM3,P20309,Humans,DB01231
MuscarinicacetylcholinereceptorM3,CHRM3,P20309,Humans,DB01409
MuscarinicacetylcholinereceptorM3,CHRM3,P20309,Humans,DB01591
MuscarinicacetylcholinereceptorM3,CHRM3,P20309,Humans,DB01625
MuscarinicacetylcholinereceptorM3,CHRM3,P20309,Humans,DB04843
MuscarinicacetylcholinereceptorM3,CHRM3,P20309,Humans,DB06702
MuscarinicacetylcholinereceptorM3,CHRM3,P20309,Humans,DB06709
MuscarinicacetylcholinereceptorM3,CHRM3,P20309,Humans,DB06787
MuscarinicacetylcholinereceptorM3,CHRM3,P20309,Humans,DB08897
MuscarinicacetylcholinereceptorM3,CHRM3,P20309,Humans,DB09076
MuscarinicacetylcholinereceptorM3,CHRM3,P20309,Humans,DB09089
MuscarinicacetylcholinereceptorM3,CHRM3,P20309,Humans,DB09167
MuscarinicacetylcholinereceptorM3,CHRM3,P20309,Humans,DB09300
MuscarinicacetylcholinereceptorM3,CHRM3,P20309,Humans,DB11181
MuscarinicacetylcholinereceptorM3,CHRM3,P20309,Humans,DB11315
MuscarinicacetylcholinereceptorM3,CHRM3,P20309,Humans,DB12278
MuscarinicacetylcholinereceptorM3,CHRM3,P20309,Humans,DB13262
MuscarinicacetylcholinereceptorM3,CHRM3,P20309,Humans,DB13720
MuscarinicacetylcholinereceptorM3,CHRM3,P20309,Humans,DB15357
MuscarinicacetylcholinereceptorM3,CHRM3,P20309,Humans,DB19325
PyruvatekinasePKLR,PKLR,P30613,Humans,DB16236
Solutecarrierfamily12member5,SLC12A5,Q9H2X9,Humans,DB00887
Prothrombin,F2,P00734,Humans,DB00001
Prothrombin,F2,P00734,Humans,DB00006
Prothrombin,F2,P00734,Humans,DB00114
Prothrombin,F2,P00734,Humans,DB00278
Prothrombin,F2,P00734,Humans,DB01125
Prothrombin,F2,P00734,Humans,DB04898
Prothrombin,F2,P00734,Humans,DB05777
Prothrombin,F2,P00734,Humans,DB06695
Prothrombin,F2,P00734,Humans,DB09109
Prothrombin,F2,P00734,Humans,DB09228
Prothrombin,F2,P00734,Humans,DB11166
Prothrombin,F2,P00734,Humans,DB13151
Prothrombin,F2,P00734,Humans,DB14726
Prothrombin,F2,P00734,Humans,DB14738
Highaffinityimmunoglobulinepsilonreceptorsubunitgamma,FCER1G,P30273,Humans,DB00895
Delta-aminolevulinicaciddehydratase,ALAD,P13716,Humans,DB00855
3beta-hydroxysteroiddehydrogenase/Delta5-->4-isomerasetype1,HSD3B1,P14060,Humans,DB01108
Glycinereceptorsubunitbeta,GLRB,P48167,Humans,DB01956
Matrixmetalloproteinase-9,MMP9,P14780,Humans,DB11672
3beta-hydroxysteroiddehydrogenase/Delta5-->4-isomerasetype2,HSD3B2,P26439,Humans,DB01108
Cannabinoidreceptor1,CNR1,P21554,Humans,DB00470
Cannabinoidreceptor1,CNR1,P21554,Humans,DB00486
Cannabinoidreceptor1,CNR1,P21554,Humans,DB01083
Cannabinoidreceptor1,CNR1,P21554,Humans,DB06155
Cannabinoidreceptor1,CNR1,P21554,Humans,DB09061
Type-1angiotensinIIreceptor,AGTR1,P30556,Humans,DB00177
Type-1angiotensinIIreceptor,AGTR1,P30556,Humans,DB00275
Type-1angiotensinIIreceptor,AGTR1,P30556,Humans,DB00678
Type-1angiotensinIIreceptor,AGTR1,P30556,Humans,DB00796
Type-1angiotensinIIreceptor,AGTR1,P30556,Humans,DB00876
Type-1angiotensinIIreceptor,AGTR1,P30556,Humans,DB00966
Type-1angiotensinIIreceptor,AGTR1,P30556,Humans,DB01029
Type-1angiotensinIIreceptor,AGTR1,P30556,Humans,DB08822
Type-1angiotensinIIreceptor,AGTR1,P30556,Humans,DB12548
ProstaglandinE2receptorEP1subtype,PTGER1,P34995,Humans,DB00429
ProstaglandinE2receptorEP1subtype,PTGER1,P34995,Humans,DB00770
ProstaglandinE2receptorEP1subtype,PTGER1,P34995,Humans,DB00905
ProstaglandinE2receptorEP1subtype,PTGER1,P34995,Humans,DB00917
ProstaglandinE2receptorEP1subtype,PTGER1,P34995,Humans,DB00929
ProstaglandinE2receptorEP1subtype,PTGER1,P34995,Humans,DB01088
ProstaglandinE2receptorEP1subtype,PTGER1,P34995,Humans,DB12789
B-lymphocyteantigenCD20,MS4A1,P11836,Humans,DB00073
B-lymphocyteantigenCD20,MS4A1,P11836,Humans,DB00078
B-lymphocyteantigenCD20,MS4A1,P11836,Humans,DB00081
B-lymphocyteantigenCD20,MS4A1,P11836,Humans,DB06650
B-lymphocyteantigenCD20,MS4A1,P11836,Humans,DB08935
B-lymphocyteantigenCD20,MS4A1,P11836,Humans,DB09336
B-lymphocyteantigenCD20,MS4A1,P11836,Humans,DB11850
B-lymphocyteantigenCD20,MS4A1,P11836,Humans,DB11988
B-lymphocyteantigenCD20,MS4A1,P11836,Humans,DB15434
B-lymphocyteantigenCD20,MS4A1,P11836,Humans,DB16371
B-lymphocyteantigenCD20,MS4A1,P11836,Humans,DB16672
Nitricoxidesynthase1,NOS1,P29475,Humans,DB01221
Nitricoxidesynthase1,NOS1,P29475,Humans,DB03147
Nitricoxidesynthase1,NOS1,P29475,Humans,DB09241
L-lactatedehydrogenaseBchain,LDHB,P07195,Humans,DB09118
"Acetyl-CoAacetyltransferase,mitochondrial",ACAT1,P24752,Humans,DB00795
"Acetyl-CoAacetyltransferase,mitochondrial",ACAT1,P24752,Humans,DB04812
Group10secretoryphospholipaseA2,PLA2G10,O15496,Humans,DB13893
Group10secretoryphospholipaseA2,PLA2G10,O15496,Humans,DB13894
Peroxisomeproliferator-activatedreceptoralpha,PPARA,Q07869,Humans,DB00636
Peroxisomeproliferator-activatedreceptoralpha,PPARA,Q07869,Humans,DB01039
Peroxisomeproliferator-activatedreceptoralpha,PPARA,Q07869,Humans,DB01241
Peroxisomeproliferator-activatedreceptoralpha,PPARA,Q07869,Humans,DB01393
Peroxisomeproliferator-activatedreceptoralpha,PPARA,Q07869,Humans,DB03756
Peroxisomeproliferator-activatedreceptoralpha,PPARA,Q07869,Humans,DB05187
Peroxisomeproliferator-activatedreceptoralpha,PPARA,Q07869,Humans,DB09064
Peroxisomeproliferator-activatedreceptoralpha,PPARA,Q07869,Humans,DB09422
Peroxisomeproliferator-activatedreceptoralpha,PPARA,Q07869,Humans,DB13873
Growthhormonereceptor,GHR,P10912,Humans,DB00052
Growthhormonereceptor,GHR,P10912,Humans,DB00082
Growthhormonereceptor,GHR,P10912,Humans,DB09098
Growthhormonereceptor,GHR,P10912,Humans,DB14960
Growthhormonereceptor,GHR,P10912,Humans,DB15093
Growthhormonereceptor,GHR,P10912,Humans,DB16220
Hypoxanthine-guaninephosphoribosyltransferase,HPRT1,P00492,Humans,DB01033
RetinoicacidreceptorRXR-beta,RXRB,P28702,Humans,DB00210
RetinoicacidreceptorRXR-beta,RXRB,P28702,Humans,DB00307
RetinoicacidreceptorRXR-beta,RXRB,P28702,Humans,DB00459
RetinoicacidreceptorRXR-beta,RXRB,P28702,Humans,DB00523
RetinoicacidreceptorRXR-beta,RXRB,P28702,Humans,DB00755
RetinoicacidreceptorRXR-beta,RXRB,P28702,Humans,DB00799
RetinoicacidreceptorRXR-beta,RXRB,P28702,Humans,DB03756
Tryptophan5-hydroxylase2,TPH2,Q8IWU9,Humans,DB12095
CreatinekinaseB-type,CKB,P12277,Humans,DB00148
CAMPATH-1antigen,CD52,P31358,Humans,DB00087
5-hydroxytryptaminereceptor4,HTR4,Q13639,Humans,DB00604
5-hydroxytryptaminereceptor4,HTR4,Q13639,Humans,DB01079
5-hydroxytryptaminereceptor4,HTR4,Q13639,Humans,DB01233
5-hydroxytryptaminereceptor4,HTR4,Q13639,Humans,DB06480
Ferritinlightchain,FTL,P02792,Humans,DB00893
Ferritinlightchain,FTL,P02792,Humans,DB09517
Ferritinlightchain,FTL,P02792,Humans,DB13995
Voltage-gatedinwardlyrectifyingpotassiumchannelKCNH2,KCNH2,Q12809,Humans,DB00204
Voltage-gatedinwardlyrectifyingpotassiumchannelKCNH2,KCNH2,Q12809,Humans,DB00252
Voltage-gatedinwardlyrectifyingpotassiumchannelKCNH2,KCNH2,Q12809,Humans,DB00308
Voltage-gatedinwardlyrectifyingpotassiumchannelKCNH2,KCNH2,Q12809,Humans,DB00489
Voltage-gatedinwardlyrectifyingpotassiumchannelKCNH2,KCNH2,Q12809,Humans,DB01035
Voltage-gatedinwardlyrectifyingpotassiumchannelKCNH2,KCNH2,Q12809,Humans,DB01100
Voltage-gatedinwardlyrectifyingpotassiumchannelKCNH2,KCNH2,Q12809,Humans,DB01182
Voltage-gatedinwardlyrectifyingpotassiumchannelKCNH2,KCNH2,Q12809,Humans,DB01218
Voltage-gatedinwardlyrectifyingpotassiumchannelKCNH2,KCNH2,Q12809,Humans,DB04855
"DNAtopoisomeraseI,mitochondrial",TOP1MT,Q969P6,Humans,DB00762
MuscarinicacetylcholinereceptorM1,CHRM1,P11229,Humans,DB00185
MuscarinicacetylcholinereceptorM1,CHRM1,P11229,Humans,DB00219
MuscarinicacetylcholinereceptorM1,CHRM1,P11229,Humans,DB00245
MuscarinicacetylcholinereceptorM1,CHRM1,P11229,Humans,DB00332
MuscarinicacetylcholinereceptorM1,CHRM1,P11229,Humans,DB00340
MuscarinicacetylcholinereceptorM1,CHRM1,P11229,Humans,DB00354
MuscarinicacetylcholinereceptorM1,CHRM1,P11229,Humans,DB00376
MuscarinicacetylcholinereceptorM1,CHRM1,P11229,Humans,DB00383
MuscarinicacetylcholinereceptorM1,CHRM1,P11229,Humans,DB00387
MuscarinicacetylcholinereceptorM1,CHRM1,P11229,Humans,DB00392
MuscarinicacetylcholinereceptorM1,CHRM1,P11229,Humans,DB00411
MuscarinicacetylcholinereceptorM1,CHRM1,P11229,Humans,DB00424
MuscarinicacetylcholinereceptorM1,CHRM1,P11229,Humans,DB00462
MuscarinicacetylcholinereceptorM1,CHRM1,P11229,Humans,DB00508
MuscarinicacetylcholinereceptorM1,CHRM1,P11229,Humans,DB00517
MuscarinicacetylcholinereceptorM1,CHRM1,P11229,Humans,DB00572
MuscarinicacetylcholinereceptorM1,CHRM1,P11229,Humans,DB00670
MuscarinicacetylcholinereceptorM1,CHRM1,P11229,Humans,DB00725
MuscarinicacetylcholinereceptorM1,CHRM1,P11229,Humans,DB00747
MuscarinicacetylcholinereceptorM1,CHRM1,P11229,Humans,DB00771
MuscarinicacetylcholinereceptorM1,CHRM1,P11229,Humans,DB00782
MuscarinicacetylcholinereceptorM1,CHRM1,P11229,Humans,DB00804
MuscarinicacetylcholinereceptorM1,CHRM1,P11229,Humans,DB00809
MuscarinicacetylcholinereceptorM1,CHRM1,P11229,Humans,DB00810
MuscarinicacetylcholinereceptorM1,CHRM1,P11229,Humans,DB00942
MuscarinicacetylcholinereceptorM1,CHRM1,P11229,Humans,DB00979
MuscarinicacetylcholinereceptorM1,CHRM1,P11229,Humans,DB00986
MuscarinicacetylcholinereceptorM1,CHRM1,P11229,Humans,DB01036
MuscarinicacetylcholinereceptorM1,CHRM1,P11229,Humans,DB01062
MuscarinicacetylcholinereceptorM1,CHRM1,P11229,Humans,DB01085
MuscarinicacetylcholinereceptorM1,CHRM1,P11229,Humans,DB01148
MuscarinicacetylcholinereceptorM1,CHRM1,P11229,Humans,DB01231
MuscarinicacetylcholinereceptorM1,CHRM1,P11229,Humans,DB01233
MuscarinicacetylcholinereceptorM1,CHRM1,P11229,Humans,DB04843
MuscarinicacetylcholinereceptorM1,CHRM1,P11229,Humans,DB08897
MuscarinicacetylcholinereceptorM1,CHRM1,P11229,Humans,DB09089
MuscarinicacetylcholinereceptorM1,CHRM1,P11229,Humans,DB09167
MuscarinicacetylcholinereceptorM1,CHRM1,P11229,Humans,DB11181
MuscarinicacetylcholinereceptorM1,CHRM1,P11229,Humans,DB12278
MuscarinicacetylcholinereceptorM1,CHRM1,P11229,Humans,DB13262
MuscarinicacetylcholinereceptorM1,CHRM1,P11229,Humans,DB13720
MuscarinicacetylcholinereceptorM1,CHRM1,P11229,Humans,DB15357
Sodium-dependentmultivitamintransporter,SLC5A6,Q9Y289,Humans,DB08872
Cannabinoidreceptor2,CNR2,P34972,Humans,DB00470
Cannabinoidreceptor2,CNR2,P34972,Humans,DB00486
Cannabinoidreceptor2,CNR2,P34972,Humans,DB09061
Cysteinylleukotrienereceptor2,CYSLTR2,Q9NS75,Humans,DB00716
S-adenosylmethioninedecarboxylaseproenzyme,AMD1,P17707,Humans,DB03754
SterolO-acyltransferase1,SOAT1,P35610,Humans,DB00973
P2Ypurinoceptor12,P2RY12,Q9H244,Humans,DB00208
P2Ypurinoceptor12,P2RY12,Q9H244,Humans,DB00758
P2Ypurinoceptor12,P2RY12,Q9H244,Humans,DB01240
P2Ypurinoceptor12,P2RY12,Q9H244,Humans,DB06209
P2Ypurinoceptor12,P2RY12,Q9H244,Humans,DB06441
P2Ypurinoceptor12,P2RY12,Q9H244,Humans,DB08816
HistamineH2receptor,HRH2,P25021,Humans,DB00272
HistamineH2receptor,HRH2,P25021,Humans,DB00501
HistamineH2receptor,HRH2,P25021,Humans,DB00585
HistamineH2receptor,HRH2,P25021,Humans,DB00751
HistamineH2receptor,HRH2,P25021,Humans,DB00863
HistamineH2receptor,HRH2,P25021,Humans,DB00927
HistamineH2receptor,HRH2,P25021,Humans,DB00940
HistamineH2receptor,HRH2,P25021,Humans,DB01142
HistamineH2receptor,HRH2,P25021,Humans,DB05381
DNApolymerasebeta,POLB,P06746,Humans,DB00987
DNApolymerasebeta,POLB,P06746,Humans,DB12151
Prostacyclinsynthase,PTGIS,Q16647,Humans,DB00812
Prostacyclinsynthase,PTGIS,Q16647,Humans,DB01240
Synapticvesicularaminetransporter,SLC18A2,Q05940,Humans,DB00182
Synapticvesicularaminetransporter,SLC18A2,Q05940,Humans,DB00206
Synapticvesicularaminetransporter,SLC18A2,Q05940,Humans,DB00865
Synapticvesicularaminetransporter,SLC18A2,Q05940,Humans,DB01089
Synapticvesicularaminetransporter,SLC18A2,Q05940,Humans,DB01576
Synapticvesicularaminetransporter,SLC18A2,Q05940,Humans,DB01577
Synapticvesicularaminetransporter,SLC18A2,Q05940,Humans,DB04844
Synapticvesicularaminetransporter,SLC18A2,Q05940,Humans,DB06706
Synapticvesicularaminetransporter,SLC18A2,Q05940,Humans,DB06714
Synapticvesicularaminetransporter,SLC18A2,Q05940,Humans,DB11915
Synapticvesicularaminetransporter,SLC18A2,Q05940,Humans,DB12161
Phospholipid-transportingATPaseABCA1,ABCA1,O95477,Humans,DB01599
Tryptophan5-hydroxylase1,TPH1,P17752,Humans,DB00360
Tryptophan5-hydroxylase1,TPH1,P17752,Humans,DB12095
Estrogenreceptor,ESR1,P03372,Humans,DB00255
Estrogenreceptor,ESR1,P03372,Humans,DB00286
Estrogenreceptor,ESR1,P03372,Humans,DB00304
Estrogenreceptor,ESR1,P03372,Humans,DB00367
Estrogenreceptor,ESR1,P03372,Humans,DB00481
Estrogenreceptor,ESR1,P03372,Humans,DB00539
Estrogenreceptor,ESR1,P03372,Humans,DB00603
Estrogenreceptor,ESR1,P03372,Humans,DB00648
